date,direction,range_size_pip,entry_price,stop_loss,take_profit,result,r_outcome,pnl_gbp,spread_cost,reentry_flag,bst_flag,week_balance,sl_method,sl_param,spread_pips,max_range_pip,kill_time,day_of_week,month
2025-06-16,N/A,1.65,0.000,0.000,0.000,SKIPPED,0.000,0.00,0.00,False,True,10000.00,A,3,3,10,07:00,Monday,June
2025-06-17,N/A,1.52,0.000,0.000,0.000,SKIPPED,0.000,0.00,0.00,False,True,10000.00,A,3,3,10,07:00,Tuesday,June
2025-06-18,N/A,1.91,0.000,0.000,0.000,SKIPPED,0.000,0.00,0.00,False,True,10000.00,A,3,3,10,07:00,Wednesday,June
2025-06-19,N/A,1.12,0.000,0.000,0.000,SKIPPED,0.000,0.00,0.00,False,True,10000.00,A,3,3,10,07:00,Thursday,June
2025-06-20,SHORT,3.44,3347.390,3355.540,3331.090,LOSS,-1.000,-136.81,36.81,False,True,10000.00,A,3,3,10,07:00,Friday,June
2025-06-23,N/A,1.76,0.000,0.000,0.000,SKIPPED,0.000,0.00,0.00,False,True,9863.19,A,3,3,10,07:00,Monday,June
2025-06-24,N/A,2.73,0.000,0.000,0.000,SKIPPED,0.000,0.00,0.00,False,True,9863.19,A,3,3,10,07:00,Tuesday,June
2025-06-25,N/A,1.45,0.000,0.000,0.000,SKIPPED,0.000,0.00,0.00,False,True,9863.19,A,3,3,10,07:00,Wednesday,June
2025-06-26,N/A,2.00,0.000,0.000,0.000,SKIPPED,0.000,0.00,0.00,False,True,9863.19,A,3,3,10,07:00,Thursday,June
2025-06-27,N/A,2.93,0.000,0.000,0.000,SKIPPED,0.000,0.00,0.00,False,True,9863.19,A,3,3,10,07:00,Friday,June
2025-06-30,N/A,1.26,0.000,0.000,0.000,SKIPPED,0.000,0.00,0.00,False,True,9863.19,A,3,3,10,07:00,Monday,June
2025-07-01,N/A,0.81,0.000,0.000,0.000,SKIPPED,0.000,0.00,0.00,False,True,9863.19,A,3,3,10,07:00,Tuesday,July
2025-07-02,N/A,1.48,0.000,0.000,0.000,SKIPPED,0.000,0.00,0.00,False,True,9863.19,A,3,3,10,07:00,Wednesday,July
2025-07-03,N/A,1.19,0.000,0.000,0.000,SKIPPED,0.000,0.00,0.00,False,True,9863.19,A,3,3,10,07:00,Thursday,July
2025-07-04,N/A,1.02,0.000,0.000,0.000,SKIPPED,0.000,0.00,0.00,False,True,9863.19,A,3,3,10,07:00,Friday,July
2025-07-07,N/A,1.09,0.000,0.000,0.000,SKIPPED,0.000,0.00,0.00,False,True,9863.19,A,3,3,10,07:00,Monday,July
2025-07-08,N/A,1.26,0.000,0.000,0.000,SKIPPED,0.000,0.00,0.00,False,True,9863.19,A,3,3,10,07:00,Tuesday,July
2025-07-09,N/A,2.61,0.000,0.000,0.000,SKIPPED,0.000,0.00,0.00,False,True,9863.19,A,3,3,10,07:00,Wednesday,July
2025-07-10,N/A,1.25,0.000,0.000,0.000,SKIPPED,0.000,0.00,0.00,False,True,9863.19,A,3,3,10,07:00,Thursday,July
2025-07-11,SHORT,3.37,3337.940,3344.740,3324.340,LOSS,-1.000,-144.12,44.12,False,True,9863.19,A,3,3,10,07:00,Friday,July
