reference_month,release_date,release_utc,instrument,P0,P1,P5,P15,P30,net_move_points,initial_move_points,points_moved,spike_range_5m,expected_label,actual_label,hit
2024-06,2024-07-11,2024-07-11T12:30:00Z,US500,5630.1,5645.9,5652.2,5646.7,5632.4,2.3,22.1,,25.7,Bullish,Whipsaw,False
2024-06,2024-07-11,2024-07-11T12:30:00Z,NAS100,20663.0,20730.4,20744.3,20724.1,20667.1,4.1,81.3,,95.4,Bullish,Whipsaw,False
2024-07,2024-08-14,2024-08-14T12:30:00Z,US500,5438.5,5444.6,5430.0,5442.7,5442.2,3.7,-8.5,,24.1,Bullish,Whipsaw,False
2024-07,2024-08-14,2024-08-14T12:30:00Z,NAS100,19039.7,19032.6,18970.9,19043.2,19027.5,-12.2,-68.8,12.2,,Bullish,Bearish,False
2024-08,2024-09-11,2024-09-11T12:30:00Z,US500,5472.4,5466.9,5473.3,5474.1,5488.3,15.9,0.9,15.9,,Bullish,Bullish,True
2024-08,2024-09-11,2024-09-11T12:30:00Z,NAS100,18750.4,18727.0,18753.8,18756.3,18836.3,85.9,3.4,85.9,,Bullish,Bullish,True
2024-09,2024-10-10,2024-10-10T12:30:00Z,US500,5787.4,5779.8,5780.2,5772.9,5772.8,-14.6,-7.2,14.6,,Bearish,Bearish,True
2024-09,2024-10-10,2024-10-10T12:30:00Z,NAS100,20218.4,20217.9,20214.5,20167.3,20179.0,-39.4,-3.9,39.4,,Bearish,Bearish,True
2024-10,2024-11-13,2024-11-13T13:30:00Z,US500,5984.8,5999.2,5999.7,6005.9,5991.9,7.1,14.9,7.1,,Whipsaw,Bullish,False
2024-10,2024-11-13,2024-11-13T13:30:00Z,NAS100,21051.0,21116.9,21120.2,21144.9,21087.2,36.2,69.2,36.2,,Whipsaw,Bullish,False
2024-11,2024-12-11,2024-12-11T13:30:00Z,US500,6049.9,6056.3,6059.5,6064.0,6065.0,15.1,9.6,15.1,,Whipsaw,Bullish,False
2024-11,2024-12-11,2024-12-11T13:30:00Z,NAS100,21444.7,21465.0,21489.5,21505.2,21508.5,63.8,44.8,63.8,,Whipsaw,Bullish,False
2024-12,2025-01-15,2025-01-15T13:30:00Z,US500,5893.1,5894.2,5914.6,5920.0,5919.1,26.0,21.5,26.0,,Bearish,Bullish,False
2024-12,2025-01-15,2025-01-15T13:30:00Z,NAS100,20786.4,20973.1,21074.3,21081.0,21071.0,284.6,287.9,284.6,,Bearish,Bullish,False
2025-01,2025-02-12,2025-02-12T13:30:00Z,US500,6028.3,6009.1,6009.8,6003.6,6004.3,-24.0,-18.5,24.0,,Bearish,Bearish,True
2025-01,2025-02-12,2025-02-12T13:30:00Z,NAS100,21556.3,21478.1,21479.3,21438.2,21432.8,-123.5,-77.0,123.5,,Bearish,Bearish,True
2025-02,2025-03-12,2025-03-12T12:30:00Z,US500,5660.5,5658.2,5634.2,5623.2,5638.1,-22.4,-26.3,22.4,,Bullish,Bearish,False
2025-02,2025-03-12,2025-03-12T12:30:00Z,NAS100,19568.6,19719.5,19669.1,19629.1,19695.5,126.9,100.5,126.9,,Bullish,Bullish,True
2025-03,2025-04-10,2025-04-10T12:30:00Z,US500,5376.0,5373.2,5365.7,5337.5,5346.1,-29.9,-10.3,29.9,,Bullish,Bearish,False
2025-03,2025-04-10,2025-04-10T12:30:00Z,NAS100,18668.5,18786.3,18754.0,18635.8,18662.8,-5.7,85.5,,166.7,Bullish,Whipsaw,False
2025-04,2025-05-13,2025-05-13T12:30:00Z,US500,5846.7,5857.8,5852.6,5846.7,5849.6,2.9,5.9,,18.6,Bullish,Whipsaw,False
2025-04,2025-05-13,2025-05-13T12:30:00Z,NAS100,20908.9,20951.8,20934.0,20913.6,20929.8,20.9,25.1,20.9,,Bullish,Bullish,True
2025-05,2025-06-11,2025-06-11T12:30:00Z,US500,6063.3,6062.5,6060.9,6059.0,6054.9,-8.4,-2.4,8.4,,Bullish,Bearish,False
2025-05,2025-06-11,2025-06-11T12:30:00Z,NAS100,21934.6,22044.8,22039.1,22028.5,22009.7,75.1,104.5,75.1,,Bullish,Bullish,True
2025-06,2025-07-15,2025-07-15T12:30:00Z,US500,6290.9,6302.2,6300.2,6293.9,6298.2,7.3,9.3,7.3,,Whipsaw,Bullish,False
2025-06,2025-07-15,2025-07-15T12:30:00Z,NAS100,22995.3,23035.5,23027.5,23005.2,23038.5,43.2,32.2,43.2,,Whipsaw,Bullish,False
2025-07,2025-08-12,2025-08-12T12:30:00Z,US500,6383.5,6405.4,6407.0,6415.1,6413.1,29.6,23.5,29.6,,Bullish,Bullish,True
2025-07,2025-08-12,2025-08-12T12:30:00Z,NAS100,23580.7,23657.0,23673.3,23703.1,23688.8,108.1,92.6,108.1,,Bullish,Bullish,True
2025-08,2025-09-11,2025-09-11T12:30:00Z,US500,6550.4,6556.0,6537.0,6544.8,6554.0,3.6,-13.4,,25.8,Bearish,Whipsaw,False
2025-08,2025-09-11,2025-09-11T12:30:00Z,NAS100,23930.9,23950.2,23863.5,23905.7,23940.9,10.0,-67.4,,108.0,Bearish,Whipsaw,False
2025-09,2025-10-24,2025-10-24T12:30:00Z,US500,6780.7,6795.4,6785.2,6781.4,6780.0,-0.7,4.5,,20.7,Bullish,Whipsaw,False
2025-09,2025-10-24,2025-10-24T12:30:00Z,NAS100,25234.0,25367.3,25338.9,25331.7,25318.9,84.9,104.9,84.9,,Bullish,Bullish,True
2025-11,2025-12-18,2025-12-18T13:30:00Z,US500,6753.3,6765.2,6765.1,6779.6,6773.6,20.3,11.8,20.3,,Bullish,Bullish,True
2025-11,2025-12-18,2025-12-18T13:30:00Z,NAS100,24866.2,24928.2,24934.4,25007.1,24981.2,115.0,68.2,115.0,,Bullish,Bullish,True
2025-12,2026-01-13,2026-01-13T13:30:00Z,US500,6974.9,6991.2,6991.5,6984.5,6980.2,5.3,16.6,5.3,,Whipsaw,Bullish,False
2025-12,2026-01-13,2026-01-13T13:30:00Z,NAS100,25741.6,25835.6,25847.5,25819.5,25801.4,59.8,105.9,59.8,,Whipsaw,Bullish,False
2026-01,2026-02-13,2026-02-13T13:30:00Z,US500,6819.2,6841.1,6837.1,6833.3,6836.1,16.9,17.9,16.9,,Bullish,Bullish,True
2026-01,2026-02-13,2026-02-13T13:30:00Z,NAS100,24616.6,24718.2,24698.4,24690.3,24697.8,81.2,81.8,81.2,,Bullish,Bullish,True
2026-02,2026-03-11,2026-03-11T12:30:00Z,US500,6785.1,6784.0,6770.5,6766.1,6767.6,-17.5,-14.6,17.5,,Whipsaw,Bearish,False
2026-02,2026-03-11,2026-03-11T12:30:00Z,NAS100,24974.4,24974.1,24922.4,24912.4,24925.1,-49.3,-52.0,49.3,,Whipsaw,Bearish,False
2026-03,2026-04-10,2026-04-10T12:30:00Z,US500,6835.8,6839.6,6833.4,6834.8,6832.3,-3.5,-2.4,3.5,,Whipsaw,Bearish,False
2026-03,2026-04-10,2026-04-10T12:30:00Z,NAS100,25194.5,25162.3,25131.7,25146.4,25134.8,-59.7,-62.8,59.7,,Whipsaw,Bearish,False
2026-04,2026-05-12,2026-05-12T12:30:00Z,US500,7388.2,7386.9,7390.8,7396.0,7401.4,13.2,2.6,13.2,,Bearish,Bullish,False
2026-04,2026-05-12,2026-05-12T12:30:00Z,NAS100,29068.9,29063.9,29092.8,29122.5,29142.3,73.4,23.9,73.4,,Bearish,Bullish,False
2026-05,2026-06-10,2026-06-10T12:30:00Z,US500,7334.4,7344.0,7350.5,7355.4,7346.2,11.8,16.1,11.8,,Whipsaw,Bullish,False
2026-05,2026-06-10,2026-06-10T12:30:00Z,NAS100,28737.6,28826.1,28900.6,28898.1,28809.7,72.1,163.0,72.1,,Whipsaw,Bullish,False
