score,profit_factor,sharpe_ratio,win_rate,max_drawdown,recovery_factor,total_trades,atr_multiplier,atr_period,ema_fast,ema_slow,max_entry_dist_atr,max_trades_per_day,min_body_pct
5.829848,1.837766,3.652615,0.605634,0.012575,352.08877,71,2.5,14,12,18,1.0,3,50.0
5.829848,1.837766,3.652615,0.605634,0.012575,352.08877,71,2.5,14,12,18,1.0,4,50.0
5.828864,1.824187,3.651329,0.633333,0.017629,199.086261,60,2.5,18,11,19,1.0,3,50.0
5.828864,1.824187,3.651329,0.633333,0.017629,199.086261,60,2.5,18,11,19,1.0,4,50.0
5.828864,1.824187,3.651329,0.633333,0.017629,199.086261,60,2.5,18,11,20,1.0,3,50.0
5.828864,1.824187,3.651329,0.633333,0.017629,199.086261,60,2.5,18,11,20,1.0,4,50.0
5.819029,1.757578,3.712922,0.6,0.016269,153.623069,40,2.5,14,12,22,0.5,2,30.0
5.819029,1.757578,3.712922,0.6,0.016269,153.623069,40,2.5,14,12,22,0.5,3,30.0
5.819029,1.757578,3.712922,0.6,0.016269,153.623069,40,2.5,14,12,22,0.5,4,30.0
5.748728,1.766663,3.457642,0.62069,0.01767,184.752053,58,2.5,18,11,19,1.0,2,50.0
5.748728,1.766663,3.457642,0.62069,0.01767,184.752053,58,2.5,18,11,20,1.0,2,50.0
5.738172,1.760975,3.424919,0.629032,0.018809,177.174066,62,2.5,18,11,18,1.0,3,50.0
5.738172,1.760975,3.424919,0.629032,0.018809,177.174066,62,2.5,18,11,18,1.0,4,50.0
5.690489,1.66683,3.401868,0.576923,0.016207,308.004488,52,1.5,10,9,26,0.5,2,30.0
5.660905,1.640225,3.332752,0.58,0.016659,287.70632,50,1.5,10,9,25,0.5,2,30.0
5.658011,1.70504,3.229158,0.616667,0.018854,163.761659,60,2.5,18,11,18,1.0,2,50.0
5.641263,1.639281,3.269923,0.576923,0.013131,277.937667,52,2.0,10,9,26,0.5,2,30.0
5.639325,1.638203,3.25906,0.588235,0.016866,293.398531,51,1.5,14,9,26,0.5,2,30.0
5.638956,1.69137,3.180398,0.619048,0.017634,179.366611,63,2.5,18,11,22,1.0,3,50.0
5.638956,1.69137,3.180398,0.619048,0.017634,179.366611,63,2.5,18,11,22,1.0,4,50.0
5.623387,1.629092,3.216564,0.588235,0.012821,286.926321,51,2.0,14,9,26,0.5,2,30.0
5.61158,1.613115,3.199967,0.58,0.01315,266.179501,50,2.0,10,9,25,0.5,2,30.0
5.607821,1.610822,3.184194,0.591837,0.0169,280.245502,49,1.5,14,9,25,0.5,2,30.0
5.602026,1.685615,3.083679,0.57971,0.013804,262.495591,69,2.5,14,12,19,1.0,3,50.0
5.602026,1.685615,3.083679,0.57971,0.013804,262.495591,69,2.5,14,12,19,1.0,4,50.0
5.591849,1.601863,3.141405,0.591837,0.012841,274.087258,49,2.0,14,9,25,0.5,2,30.0
5.584093,1.659802,3.051569,0.584615,0.01571,221.969457,65,2.5,14,12,18,1.0,2,50.0
5.57664,1.645841,3.026984,0.616667,0.017679,171.055764,60,2.5,18,12,18,1.0,3,50.0
5.57664,1.645841,3.026984,0.616667,0.017679,171.055764,60,2.5,18,12,18,1.0,4,50.0
