date,no_trade_why,no_trade,orb_hi,orb_lo,orb_range,blocked_why,vol_rejects,blocked,vol_best_ratio,early,be,trend_blocked_why,trend_blocked,max_locked_R,trail,log,config
2022-01-02,Trading disabled for Sunday.,1.0,,,,,,,,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-03,,,36567.3,36430.3,137.0,"KillSwitch already active (now=20:36, kill=16:31).",1188.0,6.0,1.0,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-04,,,36763.3,36630.3,133.0,existing open bot position found: ORBV_US30.cash_20220104 vo,14946.0,11.0,1.0,1.0,1.0,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-05,,,36855.3,36748.3,107.0,"KillSwitch already active (now=19:02, kill=16:31).",6762.0,2.0,0.9907997169143664,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-06,,,36537.4,36340.3,197.1,,,,,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-07,,,36318.3,36155.3,163.0,"KillSwitch already active (now=20:32, kill=16:31).",5689.0,1.0,0.9985734664764622,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-08,Trading disabled for Saturday.,1.0,,,,,,,,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-09,Trading disabled for Sunday.,1.0,,,,,,,,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-10,,,36289.3,36090.3,199.0,,,,,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-11,,,36214.4,36022.3,192.1,"ClosePositionsTime already reached (now=20:56, close=20:50).",3168.0,10.0,1.0,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-12,,,36423.3,36205.3,218.0,existing open bot position found: ORBV_US30.cash_20220112 vo,782.0,1.0,0.99341104916371,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-13,,,36429.2,36190.3,238.9,,3190.0,,0.9970426700464724,1.0,1.0,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-14,,,36231.3,35783.2,448.1,,,,,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-15,Trading disabled for Saturday.,1.0,,,,,,,,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-16,Trading disabled for Sunday.,1.0,,,,,,,,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-17,,,35999.3,35877.3,122.0,,,,,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-18,,,35837.3,35525.3,312.0,,,,,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-19,,,35514.2,35127.3,386.9,existing open bot position found: ORBV_US30.cash_20220119 vo,285.0,1.0,0.985838779956427,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-20,,,35194.3,35044.3,150.0,"KillSwitch already active (now=17:31, kill=16:31).",16861.0,2.0,0.9986130374479888,,,"Neutral trend, policy=BlockAll",206.0,,,2022,vol1.4_be0.6_sl50_utc
2022-01-21,,,34794.3,34535.3,259.0,,3095.0,,0.7980845969672785,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-22,Trading disabled for Saturday.,1.0,,,,,,,,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-23,Trading disabled for Sunday.,1.0,,,,,,,,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-24,ORB range 710.0 pips >= max 500. Standing down.,1.0,34485.3,33775.3,710.0,,,,,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-25,,,34355.3,33947.3,408.0,"KillSwitch already active (now=20:04, kill=16:31).",7533.0,1.0,0.9983291562238932,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-26,,,34722.2,34326.3,395.9,"KillSwitch already active (now=19:03, kill=16:31).",1553.0,1.0,0.9945853519521232,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-27,ORB range 556.0 pips >= max 500. Standing down.,1.0,34428.3,33872.3,556.0,_noTradeToday=true (range/day filter).,17981.0,4.0,0.9979423868312756,,,,,,,2022,vol1.4_be0.6_sl50_utc
2022-01-28,ORB range 579.0 pips >= max 500. Standing down.,1.0,34294.3,33715.3,579.0,_noTradeToday=true (range/day filter).,17085.0,1.0,0.9967914438502674,,,,,,,2022,vol1.4_be0.6_sl50_utc
