date,reason,range_width,clock,dst,year
2023-07-03,vol_filter_rejected,113.89999999999418,as-is,summer (EDT),2023
2023-07-04,no_breakout,57.200000000004366,as-is,summer (EDT),2023
2023-07-05,vol_filter_rejected,128.90000000000146,as-is,summer (EDT),2023
2023-07-06,no_breakout,355.1999999999971,as-is,summer (EDT),2023
2023-07-07,vol_filter_rejected,183.0,as-is,summer (EDT),2023
2023-07-10,no_breakout,310.0,as-is,summer (EDT),2023
2023-07-11,vol_filter_rejected,252.90000000000146,as-is,summer (EDT),2023
2023-07-12,no_breakout,309.5,as-is,summer (EDT),2023
2023-07-13,no_breakout,98.0,as-is,summer (EDT),2023
2023-07-14,no_breakout,257.90000000000146,as-is,summer (EDT),2023
2023-07-17,vol_filter_rejected,159.90000000000146,as-is,summer (EDT),2023
2023-07-18,vol_filter_rejected,310.1000000000058,as-is,summer (EDT),2023
2023-07-19,no_breakout,305.6000000000058,as-is,summer (EDT),2023
2023-07-20,vol_filter_rejected,243.0,as-is,summer (EDT),2023
2023-07-21,no_breakout,164.90000000000146,as-is,summer (EDT),2023
2023-07-24,vol_filter_rejected,183.59999999999854,as-is,summer (EDT),2023
2023-07-25,vol_filter_rejected,83.79999999999563,as-is,summer (EDT),2023
2023-07-26,vol_filter_rejected,149.5,as-is,summer (EDT),2023
2023-07-27,no_breakout,147.8000000000029,as-is,summer (EDT),2023
2023-07-28,vol_filter_rejected,198.10000000000582,as-is,summer (EDT),2023
2023-07-31,no_breakout,109.40000000000146,as-is,summer (EDT),2023
2023-08-01,no_breakout,235.79999999999563,as-is,summer (EDT),2023
2023-08-02,no_breakout,217.5,as-is,summer (EDT),2023
2023-08-03,vol_filter_rejected,157.3000000000029,as-is,summer (EDT),2023
2023-08-04,vol_filter_rejected,270.20000000000437,as-is,summer (EDT),2023
2023-08-07,vol_filter_rejected,318.40000000000146,as-is,summer (EDT),2023
2023-08-08,no_breakout,421.40000000000146,as-is,summer (EDT),2023
2023-08-09,no_breakout,148.8000000000029,as-is,summer (EDT),2023
2023-08-10,no_breakout,397.79999999999563,as-is,summer (EDT),2023
2023-08-11,vol_filter_rejected,298.6000000000058,as-is,summer (EDT),2023
2023-08-14,no_breakout,229.59999999999854,as-is,summer (EDT),2023
2023-08-15,no_breakout,217.59999999999854,as-is,summer (EDT),2023
2023-08-16,no_breakout,253.09999999999854,as-is,summer (EDT),2023
2023-08-17,no_breakout,147.6999999999971,as-is,summer (EDT),2023
2023-08-18,vol_filter_rejected,214.09999999999854,as-is,summer (EDT),2023
2023-08-21,no_breakout,304.1999999999971,as-is,summer (EDT),2023
2023-08-22,no_breakout,243.5,as-is,summer (EDT),2023
2023-08-23,no_breakout,155.59999999999854,as-is,summer (EDT),2023
2023-08-24,no_breakout,292.29999999999563,as-is,summer (EDT),2023
2023-08-25,no_breakout,268.90000000000146,as-is,summer (EDT),2023
2023-08-28,no_breakout,265.6999999999971,as-is,summer (EDT),2023
2023-08-29,vol_filter_rejected,214.90000000000146,as-is,summer (EDT),2023
2023-08-30,no_breakout,233.40000000000146,as-is,summer (EDT),2023
2023-08-31,no_breakout,156.79999999999563,as-is,summer (EDT),2023
2023-09-01,no_breakout,159.09999999999854,as-is,summer (EDT),2023
2023-09-04,no_breakout,162.90000000000146,as-is,summer (EDT),2023
2023-09-05,no_breakout,163.59999999999854,as-is,summer (EDT),2023
2023-09-06,no_breakout,134.09999999999854,as-is,summer (EDT),2023
2023-09-07,vol_filter_rejected,185.59999999999854,as-is,summer (EDT),2023
2023-09-08,vol_filter_rejected,198.10000000000582,as-is,summer (EDT),2023
2023-09-11,no_breakout,187.1999999999971,as-is,summer (EDT),2023
2023-09-12,vol_filter_rejected,118.69999999999709,as-is,summer (EDT),2023
2023-09-13,no_breakout,223.1999999999971,as-is,summer (EDT),2023
2023-09-14,vol_filter_rejected,243.59999999999854,as-is,summer (EDT),2023
2023-09-15,no_breakout,259.0,as-is,summer (EDT),2023
2023-09-18,vol_filter_rejected,144.1999999999971,as-is,summer (EDT),2023
2023-09-19,no_breakout,269.8000000000029,as-is,summer (EDT),2023
2023-09-20,vol_filter_rejected,174.0,as-is,summer (EDT),2023
2023-09-21,no_breakout,241.39999999999418,as-is,summer (EDT),2023
