date,entry_utc,range_width,entry,exit,reason,R,peak_R,clock,dst,year
2023-11-22,2023-11-22 14:35:00,109.20000000000437,35234.9,35209.15,SL,-0.5,0.5650485436892921,as-is,winter (EST),2023
2023-11-23,2023-11-23 16:25:00,61.0,35331.5,35328.8,KILL,-0.0524271844659629,0.09126213592227359,as-is,winter (EST),2023
2023-12-11,2023-12-11 14:35:00,59.0,36304.5,36253.0,SL,-1.0,0.04660194174760107,as-is,winter (EST),2023
2023-12-21,2023-12-21 14:35:00,169.70000000000437,37414.1,37362.6,SL,-1.0,0.0,as-is,winter (EST),2023
2023-12-22,2023-12-22 14:35:00,132.39999999999418,37500.9,37505.4,SL,0.08737864077669903,1.0427184466018853,as-is,winter (EST),2023
2024-01-10,2024-01-10 14:35:00,84.79999999999563,37659.1,37607.6,SL,-1.0,0.2932038834951174,as-is,winter (EST),2024
2024-01-22,2024-01-22 14:35:00,111.5,38062.6,38067.1,SL,0.08737864077669903,0.8233009708738147,as-is,winter (EST),2024
2024-01-26,2024-01-26 14:35:00,164.5,38104.4,38108.9,SL,0.08737864077669903,0.6504854368932039,as-is,winter (EST),2024
2024-01-29,2024-01-29 14:35:00,73.69999999999709,38146.4,38150.9,SL,0.08737864077669903,0.6213592233009708,as-is,winter (EST),2024
2024-02-06,2024-02-06 14:35:00,127.19999999999709,38497.3,38501.8,SL,0.08737864077669903,1.1262135922330097,as-is,winter (EST),2024
2024-02-07,2024-02-07 14:35:00,196.70000000000437,38683.4,38631.9,SL,-1.0,0.0,as-is,winter (EST),2024
2024-02-12,2024-02-12 14:35:00,59.0,38692.9,38697.4,SL,0.08737864077669903,0.7281553398058253,as-is,winter (EST),2024
2024-02-20,2024-02-20 14:35:00,128.79999999999563,38608.6,38613.1,SL,0.08737864077669903,0.6796116504854369,as-is,winter (EST),2024
2024-02-26,2024-02-26 14:35:00,109.5,39217.2,39221.7,SL,0.08737864077669903,0.9902912621359223,as-is,winter (EST),2024
2024-03-07,2024-03-07 14:35:00,338.8000000000029,38870.7,38819.2,SL,-1.0,0.4019417475729003,as-is,winter (EST),2024
2024-05-16,2024-05-16 16:00:00,120.0,40003.1,39981.3,KILL,-0.42330097087370167,0.13980582524280322,as-is,summer (EDT),2024
2024-05-27,2024-05-27 14:50:00,49.30000000000291,39083.9,39104.4,KILL,0.39805825242718446,0.6155339805824678,as-is,summer (EDT),2024
2024-06-17,2024-06-17 16:25:00,168.5,38712.0,38715.5,KILL,0.06796116504854369,0.27766990291267785,as-is,summer (EDT),2024
2024-08-19,2024-08-19 14:50:00,205.0,40899.6,40848.1,SL,-1.0,0.04854368932038835,as-is,summer (EDT),2024
2024-09-27,2024-09-27 15:50:00,418.8000000000029,42584.9,42533.4,SL,-1.0,0.1553398058252427,as-is,summer (EDT),2024
2024-11-05,2024-11-05 14:35:00,89.30000000000291,41903.2,41851.7,SL,-1.0,0.0,as-is,winter (EST),2024
2024-11-11,2024-11-11 14:35:00,142.0,44459.5,44464.0,SL,0.08737864077669903,0.6699029126213593,as-is,winter (EST),2024
2024-11-22,2024-11-22 14:35:00,235.0,44046.9,44149.9,SL,2.0,3.295145631067905,as-is,winter (EST),2024
2024-11-25,2024-11-25 14:35:00,183.0,44800.6,44749.1,SL,-1.0,0.2621359223300971,as-is,winter (EST),2024
2024-11-27,2024-11-27 14:35:00,150.0,44969.6,44974.1,SL,0.08737864077669903,0.7572815533980582,as-is,winter (EST),2024
2024-11-28,2024-11-28 15:00:00,71.29999999999563,44838.9,44843.4,SL,0.08737864077669903,0.6019417475728155,as-is,winter (EST),2024
2024-12-04,2024-12-04 14:35:00,160.5,45020.6,44969.1,SL,-1.0,0.33980582524271846,as-is,winter (EST),2024
2024-12-06,2024-12-06 14:35:00,173.59999999999854,44900.0,44848.5,SL,-1.0,0.0,as-is,winter (EST),2024
2024-12-19,2024-12-19 14:35:00,292.5,42690.7,42639.2,SL,-1.0,0.0,as-is,winter (EST),2024
