date,entry_time,side,vol,entry,sl,risk_pts,exit_time,reason,pl,pips,be,trail,early,max_locked_R,log,config
2022-01-04,14:31:00,Buy,2.0,36776.55,36726.55,50.0,14:35:40,StopLoss,3.82,3.9,1,0,1,,2022,vol1.4_be0.6_sl50_utc
2022-01-12,14:31:48,Buy,2.0,36424.55,36374.55,50.0,14:34:33,StopLoss,-105.78,-50.9,0,0,0,,2022,vol1.4_be0.6_sl50_utc
2022-01-13,14:31:39,Buy,2.0,36430.55,36380.55,50.0,14:33:00,StopLoss,3.82,3.9,1,0,1,,2022,vol1.4_be0.6_sl50_utc
2022-01-19,14:38:58,Buy,2.0,35517.55,35467.55,50.0,14:42:41,StopLoss,-108.18,-52.1,0,0,0,,2022,vol1.4_be0.6_sl50_utc
2022-02-11,14:31:26,Buy,2.0,35295.55,35245.55,50.0,14:32:47,StopLoss,-106.08,-51.0,0,0,0,,2022,vol1.4_be0.6_sl50_utc
2022-03-24,15:01:38,Buy,2.0,34574.75,34524.75,50.0,16:03:11,StopLoss,103.42,53.7,1,1,1,1.0,2022,vol1.4_be0.6_sl50_utc
2022-06-20,15:29:47,Buy,2.0,30153.55,30103.55,50.0,15:58:43,StopLoss,103.82,53.9,1,1,1,1.0,2022,vol1.4_be0.6_sl50_utc
2022-09-07,14:31:00,Buy,2.0,31321.2,31271.2,50.0,14:33:08,StopLoss,4.42,4.2,1,0,1,,2022,vol1.4_be0.6_sl50_utc
2022-11-21,14:31:00,Buy,2.0,33835.5,33785.5,50.0,14:32:20,StopLoss,3.22,3.6,1,0,1,,2022,vol1.4_be0.6_sl50_utc
2022-11-22,14:31:00,Buy,2.0,33904.2,33854.19,50.0,14:37:55,StopLoss,4.62,4.3,1,1,1,0.0,2022,vol1.4_be0.6_sl50_utc
2022-12-29,14:34:38,Buy,2.0,33081.2,33031.19,50.0,14:52:43,StopLoss,2.62,3.3,1,1,1,0.0,2022,vol1.4_be0.6_sl50_utc
2024-01-10,14:31:00,Buy,2.0,37556.2,37506.19,50.0,14:38:04,StopLoss,103.1,54.1,1,2,1,1.0,2024,vol1.4_be0.6_sl50_utc
2024-01-22,14:31:33,Buy,2.0,37991.9,37941.9,50.0,14:50:13,StopLoss,103.3,54.2,1,1,1,1.0,2024,vol1.4_be0.6_sl50_utc
2024-01-29,14:31:00,Buy,2.0,38121.8,38071.8,50.0,14:38:34,StopLoss,3.1,4.1,1,0,1,,2024,vol1.4_be0.6_sl50_utc
2024-02-06,14:33:35,Buy,2.0,38405.7,38355.69,50.0,14:50:06,StopLoss,203.3,104.2,1,3,1,2.0,2024,vol1.4_be0.6_sl50_utc
2024-02-07,14:31:00,Buy,2.0,38660.0,38610.0,50.0,14:42:42,StopLoss,-56.7,-25.8,0,0,1,,2024,vol1.4_be0.6_sl50_utc
2024-02-08,14:32:31,Buy,2.0,38745.3,38695.3,50.0,14:34:07,StopLoss,-107.9,-51.4,0,0,0,,2024,vol1.4_be0.6_sl50_utc
2024-02-22,14:32:38,Buy,2.0,38881.7,38831.69,50.0,14:42:35,StopLoss,-107.7,-51.3,0,0,0,,2024,vol1.4_be0.6_sl50_utc
2024-02-23,14:31:32,Buy,2.0,39207.0,39157.0,50.0,14:33:49,StopLoss,-109.9,-52.4,0,0,0,,2024,vol1.4_be0.6_sl50_utc
2024-02-26,14:32:24,Buy,2.0,39174.4,39124.4,50.0,15:14:29,StopLoss,1.5,3.3,1,0,1,,2024,vol1.4_be0.6_sl50_utc
