date,blocked_why,vol_rejects,blocked,vol_best_ratio,orb_hi,orb_lo,orb_range,no_trade_why,no_trade,be,trend_blocked_why,max_locked_R,trend_blocked,trail,log,config
2022-06-06,"KillSwitch already active (now=17:49, kill=16:31).",10538.0,26.0,0.998019801980198,,,,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-07,MaxTradesPerDay reached (1/1).,14958.0,43.0,1.0,32850.7,32619.3,231.4,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-08,"KillSwitch already active (now=16:46, kill=16:31).",7339.0,20.0,0.998829496683574,33151.0,32933.0,218.0,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-09,"KillSwitch already active (now=19:00, kill=16:31).",7855.0,34.0,0.9993201903467028,33118.9,32712.9,406.0,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-10,_noTradeToday=true (range/day filter).,1086.0,3.0,0.9991105840498072,32307.3,31448.45,858.8,ORB range 858.8 pips >= max 500. Standing down.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-11,,,,,,,,Trading disabled for Saturday.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-12,,,,,,,,Trading disabled for Sunday.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-13,"KillSwitch already active (now=19:18, kill=16:31).",9777.0,17.0,0.9995393827729158,30897.0,30610.9,286.1,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-14,"KillSwitch already active (now=18:25, kill=16:31).",21776.0,12.0,0.999702469503124,30823.3,30444.45,378.8,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-15,"KillSwitch already active (now=18:06, kill=16:31).",8350.0,25.0,0.9994874423372628,30777.4,30464.4,313.0,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-16,"KillSwitch already active (now=18:47, kill=16:31).",6394.0,2.0,0.9996711608023676,30310.3,29904.4,405.9,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-17,,2917.0,,0.9401947148817804,30238.3,29803.4,434.9,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-18,,,,,,,,Trading disabled for Saturday.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-19,,,,,,,,Trading disabled for Sunday.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-20,existing open bot position found: ORBV_US30.cash_20220620 vo,2445.0,33.0,1.0,30133.5,29989.3,144.2,,,1.0,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-21,existing open bot position found: ORBV_US30.cash_20220621 vo,10458.0,31.0,1.0,30474.45,30276.4,198.0,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-22,_noTradeToday=true (range/day filter).,7355.0,11.0,0.9985096870342772,30653.5,30045.4,608.1,ORB range 608.1 pips >= max 500. Standing down.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-23,,,,,30738.45,30293.3,445.2,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-24,_noTradeToday=true (range/day filter).,9976.0,21.0,0.9992313604919292,31329.45,30825.3,504.2,ORB range 504.2 pips >= max 500. Standing down.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-25,,,,,,,,Trading disabled for Saturday.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-26,,,,,,,,Trading disabled for Sunday.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-27,"KillSwitch already active (now=19:04, kill=16:31).",662.0,6.0,0.9993060374739764,31735.8,31412.45,323.3,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-28,"KillSwitch already active (now=16:31, kill=16:31).",18584.0,39.0,0.999569151227919,31909.5,31545.3,364.2,,,1.0,"Neutral trend, policy=BlockAll",4.0,10.0,4.0,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-29,,,,,31186.45,30910.3,276.2,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-06-30,"KillSwitch already active (now=16:33, kill=16:31).",8550.0,9.0,0.999702469503124,30831.3,30451.4,379.9,,,,"Neutral trend, policy=BlockAll",,17.0,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-01,"KillSwitch already active (now=18:47, kill=16:31).",6285.0,9.0,0.9970457902511076,30987.4,30546.3,441.1,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-02,,,,,,,,Trading disabled for Saturday.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-03,,,,,,,,Trading disabled for Sunday.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-04,"ClosePositionsTime already reached (now=23:01, close=20:50).",1101.0,7.0,0.9935205183585314,31118.8,30901.3,217.5,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-05,,4440.0,,0.9488844959051116,31149.3,30468.45,680.8,ORB range 680.8 pips >= max 500. Standing down.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-06,,5340.0,,0.9992254066615028,31117.5,30843.4,274.1,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-07,"KillSwitch already active (now=18:48, kill=16:31).",4049.0,30.0,0.9994900560938296,31352.45,31086.3,266.2,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-08,"KillSwitch already active (now=18:39, kill=16:31).",2146.0,1.0,0.995085995085995,31481.3,31228.2,253.1,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-09,,,,,,,,Trading disabled for Saturday.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-10,,,,,,,,Trading disabled for Sunday.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-11,"KillSwitch already active (now=17:09, kill=16:31).",2071.0,3.0,0.9959931310818548,31321.45,31132.3,189.2,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-12,"KillSwitch already active (now=19:37, kill=16:31).",1703.0,1.0,0.997067448680352,31326.5,30906.3,420.2,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-13,,,,,31320.2,30522.4,797.8,ORB range 797.8 pips >= max 500. Standing down.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-14,_noTradeToday=true (range/day filter).,2834.0,22.0,0.997624703087886,30651.8,30143.9,507.9,ORB range 507.9 pips >= max 500. Standing down.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-15,_noTradeToday=true (range/day filter).,3043.0,8.0,1.0,31256.45,30608.9,647.5,ORB range 647.5 pips >= max 500. Standing down.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-16,,,,,,,,Trading disabled for Saturday.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-17,,,,,,,,Trading disabled for Sunday.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-18,MaxTradesPerDay reached (1/1).,11214.0,43.0,0.9990749306197966,31654.45,31439.4,215.0,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-19,MaxTradesPerDay reached (1/1).,11503.0,28.0,0.9994794377928162,31532.5,31101.8,430.7,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-20,"KillSwitch already active (now=19:51, kill=16:31).",2237.0,1.0,0.9982384028185556,31918.3,31656.45,261.8,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-21,"KillSwitch already active (now=19:31, kill=16:31).",3456.0,20.0,0.9991235758106924,31941.3,31539.45,401.8,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-22,"KillSwitch already active (now=17:17, kill=16:31).",11379.0,17.0,0.9987085665088248,32223.45,31961.3,262.2,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-23,,,,,,,,Trading disabled for Saturday.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-24,,,,,,,,Trading disabled for Sunday.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-25,"KillSwitch already active (now=18:59, kill=16:31).",1284.0,15.0,1.0,32102.3,31869.3,233.0,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-26,existing open bot position found: ORBV_US30.cash_20220726 vo,7756.0,15.0,0.9995728321230244,31950.45,31812.3,138.2,,,,"Neutral trend, policy=BlockAll",,3.0,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-27,"KillSwitch already active (now=17:08, kill=16:31).",11485.0,35.0,0.99935107073329,31974.8,31863.45,111.3,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-28,existing open bot position found: ORBV_US30.cash_20220728 vo,15033.0,23.0,0.999333777481679,32304.45,31986.4,318.0,,,1.0,,3.0,,3.0,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-29,"KillSwitch already active (now=17:56, kill=16:31).",5928.0,21.0,1.0,32726.45,32506.45,220.0,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-30,,,,,,,,Trading disabled for Saturday.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-07-31,,,,,,,,Trading disabled for Sunday.,1.0,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-08-01,,945.0,,0.8823529411764706,32948.45,32655.4,293.0,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
2022-08-02,,3057.0,,0.9966777408637874,32720.3,32427.45,292.8,,,,,,,,2022,v2_vol1.2_be2R_noRR_shorts
