date,orb_hi,orb_lo,orb_range,trend_blocked_why,blocked_why,vol_rejects,trend_blocked,blocked,vol_best_ratio,max_locked_R,be,trail,no_trade_why,no_trade,log,config
2023-01-03,33491.0,33214.8,276.2,"Neutral trend, policy=BlockAll","KillSwitch already active (now=17:47, kill=16:31).",33845.0,181.0,15.0,1.0,,,,,,2023,orb15
2023-01-04,33289.3,33170.2,119.1,,MaxTradesPerDay reached (1/1).,20660.0,,9.0,0.9984871406959152,,,,,,2023,orb15
2023-01-05,33310.9,33026.8,284.1,,existing open bot position found: ORBV_US30.cash_20230105 vo,30885.0,,30.0,0.9997006884166416,2.0,1.0,2.0,,,2023,orb15
2023-01-06,33311.9,32890.55,421.3,,"KillSwitch already active (now=18:07, kill=16:31).",25925.0,,13.0,0.9985052316890882,,,,,,2023,orb15
2023-01-07,,,,,,,,,,,,,Trading disabled for Saturday.,1.0,2023,orb15
2023-01-08,,,,,,,,,,,,,Trading disabled for Sunday.,1.0,2023,orb15
2023-01-09,33773.1,33613.5,159.6,,"KillSwitch already active (now=17:30, kill=16:31).",19201.0,,15.0,0.99967958987504,,,,,,2023,orb15
2023-01-10,33506.1,33342.7,163.4,"Neutral trend, policy=BlockAll","KillSwitch already active (now=18:07, kill=16:31).",28150.0,565.0,20.0,0.9997151808601538,,,,,,2023,orb15
2023-01-11,33844.2,33692.0,152.2,,existing open bot position found: ORBV_US30.cash_20230111 vo,11464.0,,19.0,1.0,,,,,,2023,orb15
2023-01-12,34190.7,33700.1,490.6,,"KillSwitch already active (now=18:03, kill=16:31).",12971.0,,10.0,0.9963513892786976,,,,,,2023,orb15
2023-01-13,34234.1,33880.2,353.9,,"KillSwitch already active (now=20:37, kill=16:31).",8350.0,,7.0,0.999259807549963,,,,,,2023,orb15
2023-01-14,,,,,,,,,,,,,Trading disabled for Saturday.,1.0,2023,orb15
2023-01-15,,,,,,,,,,,,,Trading disabled for Sunday.,1.0,2023,orb15
2023-01-16,34315.0,34189.6,125.4,"Neutral trend, policy=BlockAll",MaxTradesPerDay reached (1/1).,675.0,55.0,4.0,0.9927007299270072,,,,,,2023,orb15
2023-01-17,34260.6,34152.5,108.1,"Neutral trend, policy=BlockAll","KillSwitch already active (now=17:11, kill=16:31).",26217.0,158.0,26.0,1.0,,,,,,2023,orb15
2023-01-18,34015.4,33872.7,142.7,,existing open bot position found: ORBV_US30.cash_20230118 vo,25796.0,,25.0,1.0,,1.0,,,,2023,orb15
2023-01-19,33244.0,32959.7,284.3,,,,,,,,,,,,2023,orb15
2023-01-20,33142.1,32983.0,159.1,"Neutral trend, policy=BlockAll","KillSwitch already active (now=16:33, kill=16:31).",17393.0,326.0,13.0,0.999709386806161,,,,,,2023,orb15
2023-01-21,,,,,,,,,,,,,Trading disabled for Saturday.,1.0,2023,orb15
2023-01-22,,,,,,,,,,,,,Trading disabled for Sunday.,1.0,2023,orb15
