entry_time,close_time,year,side,vol,entry,sl,tp,riskpips,risk_usd,reason,net,gross,comm,pips,balance,r
2022-01-03 14:50:00,2022-01-03 19:39:59,2022,Sell,4.49,4771.0,4793.26,4325.8,22.3,100.12700000000001,StopLoss,-102.61,-100.53,-2.08,-22.4,99897.39,-1.02479850589751
2022-01-04 16:00:00,2022-01-04 20:43:37,2022,Sell,5.17,4797.7,4817.02,4411.3,19.3,99.781,StopLoss,-41.9,-39.5,-2.4,-7.6,99855.49,-0.4199196239765085
2022-01-06 15:05:00,2022-01-06 15:47:27,2022,Sell,3.27,4681.75,4712.33,4070.15,30.6,100.06200000000001,StopLoss,-101.71,-100.19,-1.52,-30.6,99753.78,-1.0164697887309866
2022-01-07 15:50:00,2022-01-07 16:54:34,2022,Sell,4.15,4672.95,4697.01,4191.75,24.1,100.01500000000001,StopLoss,-102.1,-100.18,-1.92,-24.1,99651.68,-1.0208468729690545
2022-01-10 14:55:00,2022-01-10 18:23:29,2022,Sell,4.05,4613.45,4638.14,4119.64,24.7,100.035,StopLoss,-38.9,-37.02,-1.88,-9.1,99612.78,-0.38886389763582746
2022-01-11 16:30:00,2022-01-11 20:50:00,2022,Buy,3.35,4683.59,4653.74,5280.59,29.9,100.16499999999999,Closed,87.42,88.98,-1.56,26.6,99700.2,0.8727599460889534
2022-01-12 16:10:00,2022-01-12 20:50:00,2022,Sell,4.66,4716.2,4737.64,4287.2,21.4,99.72399999999999,Closed,-55.24,-53.08,-2.16,-11.4,99644.96,-0.5539288436083591
2022-01-13 15:35:00,2022-01-13 16:37:28,2022,Sell,5.78,4722.95,4740.25,4376.95,17.3,99.99400000000001,StopLoss,-41.06,-38.38,-2.68,-6.6,99603.9,-0.4106246374782487
2022-01-13 17:05:00,2022-01-13 20:50:00,2022,Sell,4.2,4716.45,4740.25,4240.45,23.8,99.96000000000001,Closed,223.22,225.16,-1.94,53.6,99827.12,2.2330932372949177
2022-01-14 15:00:00,2022-01-14 15:52:17,2022,Buy,3.84,4660.74,4634.7,5181.54,26.0,99.84,StopLoss,-102.54,-100.76,-1.78,-26.2,99724.58,-1.0270432692307692
2022-01-18 17:50:00,2022-01-18 19:53:36,2022,Sell,3.46,4576.9,4605.75,3999.9,28.9,99.994,StopLoss,-101.56,-99.96,-1.6,-28.9,99623.02,-1.0156609396563794
2022-01-19 15:30:00,2022-01-19 20:50:00,2022,Sell,4.08,4580.4,4604.88,4090.8,24.5,99.96000000000001,Closed,104.65,106.53,-1.88,26.1,99727.67,1.0469187675070029
2022-01-20 15:00:00,2022-01-20 18:05:19,2022,Buy,4.09,4583.49,4559.08,5071.68,24.4,99.79599999999999,StopLoss,-39.28,-37.38,-1.9,-9.1,99688.39,-0.39360295001803686
2022-01-21 15:15:00,2022-01-21 15:35:36,2022,Sell,2.87,4435.1,4469.85,3739.9,34.8,99.87599999999999,StopLoss,-102.89,-101.57,-1.32,-35.4,99585.5,-1.0301774200008011
2022-01-21 17:50:00,2022-01-21 20:50:00,2022,Sell,3.33,4439.85,4469.85,3839.65,30.0,99.9,Closed,69.59,71.13,-1.54,21.4,99655.09,0.6965965965965966
2022-01-24 15:00:00,2022-01-24 15:36:07,2022,Sell,3.29,4306.1,4336.41,3699.9,30.3,99.687,StopLoss,-39.42,-37.9,-1.52,-11.5,99615.67,-0.39543772006379974
2022-01-24 15:50:00,2022-01-24 18:14:50,2022,Sell,2.61,4298.1,4336.41,3531.9,38.3,99.963,StopLoss,3.65,4.85,-1.2,1.9,99619.32,0.03651350999869952
2022-01-25 14:50:00,2022-01-25 15:27:10,2022,Sell,2.8,4313.4,4349.0,3601.4,35.6,99.67999999999999,StopLoss,-38.79,-37.49,-1.3,-13.4,99580.53,-0.38914526484751205
2022-01-25 16:10:00,2022-01-25 18:28:35,2022,Sell,3.62,4321.4,4349.0,3769.4,27.6,99.912,StopLoss,-101.74,-100.06,-1.68,-27.6,99478.79,-1.0182961005685
2022-01-26 14:55:00,2022-01-26 15:25:14,2022,Buy,4.05,4436.79,4412.14,4929.79,24.6,99.63,StopLoss,-102.68,-100.8,-1.88,-24.9,99376.11,-1.030613269095654
2022-01-26 17:45:00,2022-01-26 19:11:34,2022,Buy,4.16,4436.17,4412.14,4916.77,24.0,99.84,StopLoss,-40.48,-38.56,-1.92,-9.3,99335.63,-0.4054487179487179
2022-01-27 15:10:00,2022-01-27 15:28:22,2022,Buy,3.62,4424.49,4396.92,4975.89,27.6,99.912,StopLoss,-101.74,-100.06,-1.68,-27.6,99233.89,-1.0182961005685
2022-01-27 17:20:00,2022-01-27 20:50:00,2022,Sell,3.3,4371.23,4401.53,3765.23,30.3,99.99,Closed,111.47,112.99,-1.52,34.2,99345.36,1.114811481148115
2022-01-28 16:15:00,2022-01-28 19:23:10,2022,Buy,2.67,4354.99,4317.57,5103.39,37.4,99.85799999999999,StopLoss,-38.33,-37.09,-1.24,-13.9,99307.03,-0.383845059985179
2022-01-31 15:05:00,2022-01-31 20:50:00,2022,Buy,3.22,4453.79,4422.78,5073.99,31.0,99.82000000000001,Closed,157.6,159.1,-1.5,49.4,99464.63,1.578841915447806
2022-02-01 15:05:00,2022-02-01 15:25:27,2022,Sell,4.14,4489.7,4513.81,4007.5,24.1,99.774,StopLoss,-101.78,-99.86,-1.92,-24.1,99362.85,-1.0201054382905366
2022-02-02 16:15:00,2022-02-02 17:08:52,2022,Sell,4.28,4546.45,4569.78,4079.85,23.3,99.724,StopLoss,-104.23,-102.25,-1.98,-23.9,99258.62,-1.0451847097990454
2022-02-04 18:05:00,2022-02-04 20:50:00,2022,Buy,2.9,4509.84,4475.39,5198.64,34.4,99.75999999999999,Closed,17.83,19.17,-1.34,6.6,99276.45,0.17872894947874898
2022-02-07 17:40:00,2022-02-07 18:13:06,2022,Sell,4.82,4483.25,4503.97,4068.65,20.7,99.774,StopLoss,-104.13,-101.89,-2.24,-21.1,99172.32,-1.0436586685910156
2022-02-08 16:05:00,2022-02-08 19:28:04,2022,Buy,5.04,4499.59,4479.78,4895.79,19.8,99.792,StopLoss,7.03,9.37,-2.34,1.9,99179.35,0.07044652877986211
2022-02-10 15:05:00,2022-02-10 18:17:01,2022,Buy,2.61,4576.34,4538.09,5341.34,38.2,99.702,StopLoss,-104.01,-102.81,-1.2,-39.4,99075.34,-1.043208762111091
2022-02-11 16:35:00,2022-02-11 19:18:10,2022,Sell,5.1,4489.85,4509.42,4098.45,19.6,99.96,StopLoss,207.3,209.66,-2.36,41.1,99282.64,2.0738295318127253
2022-02-14 15:35:00,2022-02-14 16:35:05,2022,Sell,4.19,4388.7,4412.51,3912.5,23.8,99.72200000000001,StopLoss,-101.83,-99.89,-1.94,-23.8,99180.81,-1.0211387657688373
2022-02-16 14:55:00,2022-02-16 19:00:52,2022,Sell,5.78,4435.08,4452.38,4089.08,17.3,99.99400000000001,StopLoss,-103.14,-100.46,-2.68,-17.4,99077.67,-1.0314618877132626
2022-02-17 14:55:00,2022-02-17 20:50:00,2022,Sell,4.15,4415.93,4440.01,3934.33,24.1,100.01500000000001,Closed,124.74,126.66,-1.92,30.5,99202.41,1.2472129180622904
2022-02-18 16:05:00,2022-02-18 20:00:39,2022,Sell,3.18,4346.43,4377.8,3719.03,31.4,99.852,StopLoss,-101.9,-100.42,-1.48,-31.6,99100.51,-1.0205103553258823
2022-02-21 17:00:00,2022-02-21 20:50:00,2022,Sell,4.53,4302.88,4324.92,3862.08,22.0,99.66000000000001,Closed,40.35,42.45,-2.1,9.4,99140.86,0.40487658037326907
2022-02-22 14:50:00,2022-02-22 16:08:02,2022,Buy,3.59,4350.01,4322.17,4906.81,27.8,99.80199999999999,StopLoss,-101.75,-100.09,-1.66,-27.9,99039.11,-1.0195186469209034
