date,side,entry_time_ny,entry,stop,target,stop_dist,tp_dist,outcome,exit,pnl_pts,R,bars_held,mins_held,mae_pts,mfe_pts,range_w,bo_vol,vol_trail_rel,vol_pm_rel,vol_z,pm_avg_vol,dow
2023-07-03,SHORT,2023-07-03 10:35:00-04:00,15170.8,15220.8,15070.8,50,100.0,TIMEOUT,15203.3,-32.5,-0.65,31,155,-42.4,16.1,59.3,1798,1.15,0.899,0.452,2000.3,0
2023-07-05,LONG,2023-07-05 10:00:00-04:00,15224.3,15174.3,15324.3,50,100.0,SL,15174.3,-50.0,-1.0,52,260,-54.8,52.8,60.5,2050,1.665,0.959,1.328,2138.3,2
2023-07-06,SHORT,2023-07-06 10:00:00-04:00,14983.2,15033.2,14883.2,50,100.0,SL,15033.2,-50.0,-1.0,24,120,-50.1,14.4,138.9,2250,1.332,1.023,1.505,2200.0,3
2023-07-11,SHORT,2023-07-11 10:00:00-04:00,14993.3,15043.3,14893.3,50,100.0,SL,15043.3,-50.0,-1.0,6,30,-54.3,22.1,60.0,2082,1.593,0.943,1.293,2208.3,1
2023-07-12,LONG,2023-07-12 10:00:00-04:00,15323.6,15273.6,15423.6,50,100.0,SL,15273.6,-50.0,-1.0,19,95,-56.9,41.0,162.9,2110,1.203,0.957,0.837,2204.0,2
2023-07-13,LONG,2023-07-13 10:00:00-04:00,15457.0,15407.0,15557.0,50,100.0,TP,15557.0,100.0,2.0,60,300,-33.8,101.6,84.8,2058,1.343,0.963,1.099,2138.0,3
2023-07-14,LONG,2023-07-14 10:00:00-04:00,15669.4,15619.4,15769.4,50,100.0,SL,15619.4,-50.0,-1.0,10,50,-50.2,52.3,51.5,2250,1.776,1.078,1.744,2086.7,4
2023-07-17,LONG,2023-07-17 10:00:00-04:00,15615.9,15565.9,15715.9,50,100.0,TP,15715.9,100.0,2.0,63,315,-19.9,129.0,50.5,1986,1.552,0.914,1.189,2172.0,0
2023-07-18,SHORT,2023-07-18 10:00:00-04:00,15636.1,15686.1,15536.1,50,100.0,SL,15686.1,-50.0,-1.0,20,100,-70.0,14.8,46.0,2060,1.415,0.952,1.126,2163.0,1
2023-07-19,LONG,2023-07-19 10:40:00-04:00,15907.5,15857.5,16007.5,50,100.0,SL,15857.5,-50.0,-1.0,3,15,-61.9,6.4,52.4,1976,1.153,0.901,0.462,2193.7,2
2023-07-20,SHORT,2023-07-20 10:15:00-04:00,15661.4,15711.4,15561.4,50,100.0,TP,15561.4,100.0,2.0,37,185,-6.2,102.0,66.5,2198,1.369,1.015,1.11,2164.8,3
2023-07-21,SHORT,2023-07-21 10:00:00-04:00,15484.5,15534.5,15384.5,50,100.0,SL,15534.5,-50.0,-1.0,47,235,-53.4,51.3,101.5,2192,1.617,0.978,1.401,2241.0,4
2023-07-24,SHORT,2023-07-24 10:00:00-04:00,15396.5,15446.5,15296.5,50,100.0,SL,15446.5,-50.0,-1.0,3,15,-65.6,9.2,56.8,2104,1.682,0.932,1.278,2257.0,0
2023-07-25,LONG,2023-07-25 10:00:00-04:00,15542.4,15492.4,15642.4,50,100.0,TIMEOUT,15550.7,8.3,0.166,72,360,-48.2,81.9,50.0,2090,1.823,1.004,1.482,2082.7,1
2023-07-26,SHORT,2023-07-26 10:30:00-04:00,15495.9,15545.9,15395.9,50,100.0,SL,15545.9,-50.0,-1.0,49,245,-57.8,87.8,69.7,1986,1.185,0.901,0.585,2204.7,2
2023-07-27,LONG,2023-07-27 10:00:00-04:00,15764.0,15714.0,15864.0,50,100.0,SL,15714.0,-50.0,-1.0,4,20,-51.3,1.3,130.6,2130,1.306,0.974,1.228,2187.3,3
2023-07-28,LONG,2023-07-28 10:00:00-04:00,15722.0,15672.0,15822.0,50,100.0,SL,15672.0,-50.0,-1.0,44,220,-51.6,65.6,129.4,2214,1.367,1.003,1.409,2206.8,4
2023-08-01,SHORT,2023-08-01 10:15:00-04:00,15646.4,15696.4,15546.4,50,100.0,SL,15696.4,-50.0,-1.0,3,15,-61.3,8.9,91.1,2132,1.353,0.995,1.069,2141.7,1
2023-08-02,SHORT,2023-08-02 10:05:00-04:00,15461.7,15511.7,15361.7,50,100.0,TP,15361.7,100.0,2.0,22,110,-11.9,105.3,127.7,2156,1.31,0.963,1.192,2238.3,2
2023-08-03,LONG,2023-08-03 10:00:00-04:00,15358.5,15308.5,15458.5,50,100.0,SL,15308.5,-50.0,-1.0,4,20,-66.2,6.6,105.1,2224,1.287,1.003,1.315,2218.0,3
