instrument,trades,wins,losses,timeouts,win_rate,tp_rate,sl_rate,expectancy_R,total_R,profit_factor,avg_win_R,avg_loss_R,avg_mins_held,max_dd_R,long_share,lon_window,bo_window
NAS100,398,128,224,46,0.3216,0.3216,0.5628,0.1262,50.24,1.22,2.0,-1.0,104.0,-13.12,0.505,RNG 02-0930ET,10:00-11:00
NAS100,398,128,224,46,0.3216,0.3216,0.5628,0.1262,50.24,1.22,2.0,-1.0,104.0,-13.12,0.505,RNG 02-0930ET,10:00-12:00
NAS100,405,128,226,51,0.316,0.316,0.558,0.1232,49.88,1.216,2.0,-1.0,103.9,-12.79,0.501,RNG 02-0930ET,10:00-13:00
NAS100,390,126,221,43,0.3231,0.3231,0.5667,0.1223,47.7,1.212,2.0,-1.0,104.1,-15.12,0.508,RNG 02-0930ET,10:00-10:30
NAS100,379,122,217,40,0.3219,0.3219,0.5726,0.1203,45.58,1.207,2.0,-1.0,102.3,-14.12,0.517,RNG 00-0930ET,10:00-10:30
NAS100,387,124,221,42,0.3204,0.3204,0.5711,0.1197,46.31,1.207,2.0,-1.0,101.8,-12.12,0.514,RNG 00-0930ET,10:00-11:00
NAS100,387,124,221,42,0.3204,0.3204,0.5711,0.1197,46.31,1.207,2.0,-1.0,101.8,-12.12,0.514,RNG 00-0930ET,10:00-12:00
NAS100,394,124,223,47,0.3147,0.3147,0.566,0.1166,45.95,1.203,2.0,-1.0,101.8,-12.0,0.51,RNG 00-0930ET,10:00-13:00
NAS100,518,137,247,134,0.2645,0.2645,0.4768,0.1106,57.3,1.217,2.0,-1.0,86.6,-16.97,0.523,RNG 00-0930ET,10:00-16:00
NAS100,525,139,250,136,0.2648,0.2648,0.4762,0.109,57.23,1.214,2.0,-1.0,89.1,-17.14,0.518,RNG 02-0930ET,10:00-16:00
NAS100,600,169,308,123,0.2817,0.2817,0.5133,0.1075,64.51,1.201,2.0,-1.0,100.9,-16.7,0.518,RNG 08-0930ET,10:00-16:00
NAS100,588,165,299,124,0.2806,0.2806,0.5085,0.1059,62.26,1.199,2.0,-1.0,101.1,-14.21,0.517,RNG 07-0930ET,10:00-16:00
NAS100,498,154,280,64,0.3092,0.3092,0.5622,0.1018,50.69,1.177,2.0,-1.0,112.1,-15.28,0.488,RNG 07-0930ET,10:00-12:00
NAS100,498,154,280,64,0.3092,0.3092,0.5622,0.1018,50.69,1.177,2.0,-1.0,112.1,-15.28,0.488,RNG 07-0930ET,10:00-11:00
NAS100,428,134,245,49,0.3131,0.3131,0.5724,0.1008,43.15,1.173,2.0,-1.0,106.4,-16.14,0.498,RNG 04-0930ET,10:00-10:30
NAS100,438,136,249,53,0.3105,0.3105,0.5685,0.0999,43.77,1.173,2.0,-1.0,106.9,-14.14,0.491,RNG 04-0930ET,10:00-12:00
NAS100,438,136,249,53,0.3105,0.3105,0.5685,0.0999,43.77,1.173,2.0,-1.0,106.9,-14.14,0.491,RNG 04-0930ET,10:00-11:00
NAS100,519,159,293,67,0.3064,0.3064,0.5645,0.0996,51.67,1.173,2.0,-1.0,110.3,-19.9,0.495,RNG 08-0930ET,10:00-11:00
NAS100,519,159,293,67,0.3064,0.3064,0.5645,0.0996,51.67,1.173,2.0,-1.0,110.3,-19.9,0.495,RNG 08-0930ET,10:00-12:00
NAS100,504,154,282,68,0.3056,0.3056,0.5595,0.0992,49.97,1.173,2.0,-1.0,111.7,-14.31,0.488,RNG 07-0930ET,10:00-13:00
NAS100,524,159,294,71,0.3034,0.3034,0.5611,0.099,51.86,1.173,2.0,-1.0,110.2,-18.93,0.492,RNG 08-0930ET,10:00-13:00
NAS100,412,129,236,47,0.3131,0.3131,0.5728,0.0987,40.68,1.169,2.0,-1.0,105.9,-16.12,0.51,RNG 03-0930ET,10:00-10:30
NAS100,540,143,264,133,0.2648,0.2648,0.4889,0.0985,53.17,1.189,2.0,-1.0,92.2,-17.88,0.515,RNG 03-0930ET,10:00-16:00
NAS100,513,157,291,65,0.306,0.306,0.5673,0.0985,50.53,1.171,2.0,-1.0,110.4,-19.9,0.499,RNG 08-0930ET,10:00-10:30
NAS100,422,131,240,51,0.3104,0.3104,0.5687,0.0979,41.3,1.169,2.0,-1.0,106.2,-14.51,0.502,RNG 03-0930ET,10:00-12:00
NAS100,422,131,240,51,0.3104,0.3104,0.5687,0.0979,41.3,1.169,2.0,-1.0,106.2,-14.51,0.502,RNG 03-0930ET,10:00-11:00
NAS100,445,136,251,58,0.3056,0.3056,0.564,0.0971,43.21,1.169,2.0,-1.0,107.2,-13.81,0.49,RNG 04-0930ET,10:00-13:00
NAS100,486,150,276,60,0.3086,0.3086,0.5679,0.0964,46.83,1.166,2.0,-1.0,112.2,-15.53,0.494,RNG 07-0930ET,10:00-10:30
NAS100,428,131,242,55,0.3061,0.3061,0.5654,0.0956,40.9,1.166,2.0,-1.0,106.3,-13.94,0.5,RNG 03-0930ET,10:00-13:00
NAS100,552,148,275,129,0.2681,0.2681,0.4982,0.0928,51.23,1.176,2.0,-1.0,94.1,-17.65,0.514,RNG 04-0930ET,10:00-16:00
