instrument,trades,wins,losses,timeouts,win_rate,tp_rate,sl_rate,expectancy_R,total_R,profit_factor,avg_win_R,avg_loss_R,avg_mins_held,max_dd_R,long_share,stop_method,stop_param,rr
NAS100,398,83,257,58,0.2085,0.2085,0.6457,0.2337,92.99,1.358,3.5,-1.0,109.2,-12.08,0.505,fixed,40,3.5
NAS100,398,98,252,48,0.2462,0.2462,0.6332,0.2141,85.23,1.336,3.0,-1.0,98.7,-12.0,0.505,fixed,40,3.0
NAS100,398,100,264,34,0.2513,0.2513,0.6633,0.1757,69.93,1.263,3.0,-1.0,92.8,-12.62,0.505,atr,1.5,3.0
NAS100,398,118,203,77,0.2965,0.2965,0.5101,0.1732,68.92,1.331,2.0,-1.0,139.2,-12.87,0.505,fixed,60,2.0
NAS100,398,117,247,34,0.294,0.294,0.6206,0.1697,67.56,1.272,2.5,-1.0,85.6,-15.56,0.505,fixed,40,2.5
NAS100,398,41,217,140,0.103,0.103,0.5452,0.1692,67.35,1.302,3.5,-1.0,183.4,-11.81,0.505,fixed,60,3.5
NAS100,398,92,177,129,0.2312,0.2312,0.4447,0.1683,67.0,1.357,2.0,-1.0,182.9,-10.9,0.505,fixed,75,2.0
NAS100,398,59,181,158,0.1482,0.1482,0.4548,0.1646,65.51,1.341,2.5,-1.0,201.8,-11.33,0.505,fixed,75,2.5
NAS100,398,82,212,104,0.206,0.206,0.5327,0.1627,64.76,1.298,2.5,-1.0,159.8,-11.81,0.505,fixed,60,2.5
NAS100,398,39,184,175,0.098,0.098,0.4623,0.162,64.47,1.33,3.0,-1.0,212.5,-11.4,0.505,fixed,75,3.0
NAS100,398,26,185,187,0.0653,0.0653,0.4648,0.1608,63.99,1.326,3.5,-1.0,217.8,-12.66,0.505,fixed,75,3.5
NAS100,398,59,216,123,0.1482,0.1482,0.5427,0.1603,63.78,1.288,3.0,-1.0,173.7,-11.81,0.505,fixed,60,3.0
NAS100,398,138,169,91,0.3467,0.3467,0.4246,0.1545,61.5,1.344,1.5,-1.0,155.4,-13.9,0.505,fixed,75,1.5
NAS100,398,57,241,100,0.1432,0.1432,0.6055,0.1499,59.65,1.242,3.5,-1.0,145.9,-16.77,0.505,fixed,50,3.5
NAS100,398,100,232,66,0.2513,0.2513,0.5829,0.1496,59.54,1.251,2.5,-1.0,122.5,-15.06,0.505,fixed,50,2.5
NAS100,398,75,238,85,0.1884,0.1884,0.598,0.1493,59.42,1.244,3.0,-1.0,135.9,-14.32,0.505,fixed,50,3.0
NAS100,398,73,241,84,0.1834,0.1834,0.6055,0.1428,56.82,1.232,3.0,-1.0,146.1,-14.89,0.505,atr,2.0,3.0
NAS100,398,36,213,149,0.0905,0.0905,0.5352,0.1416,56.34,1.257,3.5,-1.0,195.3,-14.72,0.505,atr,2.5,3.5
NAS100,398,75,273,50,0.1884,0.1884,0.6859,0.1342,53.43,1.194,3.5,-1.0,106.9,-16.73,0.505,atr,1.5,3.5
NAS100,398,49,243,106,0.1231,0.1231,0.6106,0.1314,52.3,1.211,3.5,-1.0,156.8,-17.61,0.505,atr,2.0,3.5
NAS100,398,99,238,61,0.2487,0.2487,0.598,0.1304,51.9,1.215,2.5,-1.0,130.7,-13.39,0.505,atr,2.0,2.5
NAS100,398,73,212,113,0.1834,0.1834,0.5327,0.1297,51.61,1.237,2.5,-1.0,176.2,-15.81,0.505,atr,2.5,2.5
NAS100,398,128,224,46,0.3216,0.3216,0.5628,0.1262,50.24,1.22,2.0,-1.0,104.0,-13.12,0.505,fixed,50,2.0
NAS100,398,45,213,140,0.1131,0.1131,0.5352,0.1252,49.81,1.227,3.0,-1.0,188.3,-15.72,0.505,atr,2.5,3.0
NAS100,398,108,208,82,0.2714,0.2714,0.5226,0.1231,48.99,1.23,2.0,-1.0,156.5,-14.22,0.505,atr,2.5,2.0
NAS100,398,115,259,24,0.2889,0.2889,0.6508,0.1168,46.48,1.179,2.5,-1.0,80.1,-15.83,0.505,atr,1.5,2.5
