metric,min_pctile,threshold,trades,kept_frac,win_rate,expectancy_R,total_R
bo_vol,0.0,366.0,692,1.0,0.292,0.034,23.39
bo_vol,0.1,1126.2,622,0.899,0.305,0.043,26.54
bo_vol,0.2,1204.0,554,0.801,0.301,0.033,18.3
bo_vol,0.3,1258.0,485,0.701,0.303,0.045,21.69
bo_vol,0.4,1755.2,415,0.6,0.304,0.043,17.84
bo_vol,0.5,2009.0,346,0.5,0.306,0.018,6.07
bo_vol,0.6,2101.2,277,0.4,0.307,0.004,1.2
bo_vol,0.7,2188.2,208,0.301,0.327,0.03,6.24
bo_vol,0.8,2267.6,139,0.201,0.338,0.031,4.29
bo_vol,0.9,2381.6,70,0.101,0.343,0.029,2.0
