metric,min_pctile,threshold,trades,kept_frac,win_rate,expectancy_R,total_R
vol_pm_rel,0.0,0.565,692,1.0,0.292,0.034,23.39
vol_pm_rel,0.1,0.881,623,0.9,0.303,0.042,26.18
vol_pm_rel,0.2,0.917,553,0.799,0.309,0.035,19.28
vol_pm_rel,0.3,0.944,485,0.701,0.322,0.054,26.41
vol_pm_rel,0.4,0.963,416,0.601,0.329,0.071,29.42
vol_pm_rel,0.5,0.975,349,0.504,0.335,0.09,31.37
vol_pm_rel,0.6,0.988,278,0.402,0.338,0.068,18.9
vol_pm_rel,0.7,0.997,210,0.303,0.352,0.119,25.06
vol_pm_rel,0.8,1.008,139,0.201,0.36,0.149,20.65
vol_pm_rel,0.9,1.024,71,0.103,0.324,0.079,5.61
