metric,min_pctile,threshold,trades,kept_frac,win_rate,expectancy_R,total_R
vol_trail_rel,0.0,0.735,692,1.0,0.292,0.034,23.39
vol_trail_rel,0.1,1.005,622,0.899,0.299,0.045,28.08
vol_trail_rel,0.2,1.072,554,0.801,0.301,0.057,31.33
vol_trail_rel,0.3,1.132,484,0.699,0.298,0.054,25.98
vol_trail_rel,0.4,1.207,416,0.601,0.312,0.104,43.4
vol_trail_rel,0.5,1.275,347,0.501,0.329,0.165,57.1
vol_trail_rel,0.6,1.337,277,0.4,0.318,0.129,35.62
vol_trail_rel,0.7,1.416,208,0.301,0.317,0.13,27.12
vol_trail_rel,0.8,1.492,139,0.201,0.273,0.024,3.32
vol_trail_rel,0.9,1.606,70,0.101,0.257,-0.067,-4.69
