metric,min_pctile,threshold,trades,kept_frac,win_rate,expectancy_R,total_R
vol_z,0.0,-3.188,692,1.0,0.292,0.034,23.39
vol_z,0.1,0.059,622,0.899,0.299,0.045,28.08
vol_z,0.2,0.563,553,0.799,0.309,0.063,34.79
vol_z,0.3,0.817,485,0.701,0.326,0.112,54.14
vol_z,0.4,0.981,415,0.6,0.323,0.093,38.68
vol_z,0.5,1.131,346,0.5,0.315,0.062,21.57
vol_z,0.6,1.249,277,0.4,0.321,0.051,14.07
vol_z,0.7,1.346,208,0.301,0.317,0.042,8.75
vol_z,0.8,1.416,139,0.201,0.338,0.076,10.55
vol_z,0.9,1.508,71,0.103,0.352,0.139,9.9
