ny_hour,mean,median,std,count
0,463.0,404.0,229.2,9312
1,552.0,506.0,228.1,9312
2,634.1,600.0,224.3,9310
3,890.9,868.0,271.9,9312
4,841.0,820.0,266.1,9312
5,725.7,702.0,237.8,9312
6,708.2,678.0,247.8,9312
7,793.2,770.0,255.7,9312
8,995.4,942.0,353.2,9318
9,1493.3,1270.0,581.1,9310
10,1731.6,1906.0,492.9,9300
11,1563.4,1650.0,438.0,9293
12,1440.4,1470.0,411.6,9287
13,1423.2,1418.0,387.8,8965
14,1423.3,1418.0,405.4,8939
15,1486.7,1492.0,429.8,8902
16,709.9,614.0,402.9,8651
17,2.0,2.0,0.0,4
18,509.3,454.0,263.2,9324
19,528.9,484.0,257.0,9324
20,703.9,666.0,261.2,9324
21,677.2,634.0,263.2,9322
22,567.5,518.0,247.4,9314
23,482.9,422.0,236.9,9312
