date,side,entry_time_ny,entry,stop,target,stop_dist,tp_dist,outcome,exit,pnl_pts,R,bars_held,mins_held,mae_pts,mfe_pts,range_w,bo_vol,vol_trail_rel,vol_pm_rel,vol_z,pm_avg_vol,dow
2023-07-06,SHORT,2023-07-06 10:00:00-04:00,33881.0,33931.0,33781.0,50,100.0,TP,33781.0,100.0,2.0,8,40,-9.2,104.4,189.6,2258,1.442,0.994,1.361,2272.7,3
2023-07-10,LONG,2023-07-10 10:00:00-04:00,33951.3,33901.3,34051.3,50,100.0,SL,33901.3,-50.0,-1.0,5,25,-58.3,16.6,192.0,2190,1.627,0.953,1.309,2298.0,0
2023-07-12,LONG,2023-07-12 10:00:00-04:00,34548.3,34498.3,34648.3,50,100.0,SL,34498.3,-50.0,-1.0,19,95,-63.1,33.4,262.6,2210,1.23,0.956,0.886,2311.0,2
2023-07-13,LONG,2023-07-13 10:05:00-04:00,34471.0,34421.0,34571.0,50,100.0,SL,34421.0,-50.0,-1.0,8,40,-56.1,5.2,70.2,2186,1.438,0.954,1.091,2290.3,3
2023-07-17,LONG,2023-07-17 10:00:00-04:00,34548.0,34498.0,34648.0,50,100.0,TP,34648.0,100.0,2.0,63,315,-12.2,139.0,89.0,2190,1.777,0.932,1.296,2348.7,0
2023-07-18,LONG,2023-07-18 10:00:00-04:00,34838.3,34788.3,34938.3,50,100.0,TP,34938.3,100.0,2.0,11,55,-29.3,104.8,86.2,2256,1.581,0.959,1.267,2351.3,1
2023-07-19,LONG,2023-07-19 10:00:00-04:00,35201.0,35151.0,35301.0,50,100.0,SL,35151.0,-50.0,-1.0,10,50,-77.2,60.8,118.5,2216,1.666,0.954,1.336,2322.3,2
2023-07-20,LONG,2023-07-20 10:00:00-04:00,35299.6,35249.6,35399.6,50,100.0,SL,35249.6,-50.0,-1.0,3,15,-56.6,3.1,106.8,2314,1.682,0.983,1.414,2353.3,3
2023-07-24,LONG,2023-07-24 10:00:00-04:00,35402.4,35352.4,35502.4,50,100.0,TIMEOUT,35454.2,51.8,1.036,72,360,-37.2,96.7,93.3,2212,1.892,0.987,1.459,2240.7,0
2023-07-26,LONG,2023-07-26 10:25:00-04:00,35480.9,35430.9,35580.9,50,100.0,SL,35430.9,-50.0,-1.0,3,15,-52.7,8.8,131.0,2070,1.266,0.901,0.652,2298.3,2
2023-07-28,LONG,2023-07-28 10:15:00-04:00,35501.6,35451.6,35601.6,50,100.0,SL,35451.6,-50.0,-1.0,39,195,-66.5,93.9,166.5,2138,1.297,0.949,0.884,2253.3,4
2023-08-01,LONG,2023-08-01 10:00:00-04:00,35690.2,35640.2,35790.2,50,100.0,SL,35640.2,-50.0,-1.0,2,10,-62.5,2.2,118.1,2338,1.716,1.043,1.655,2242.0,1
2023-08-07,LONG,2023-08-07 10:00:00-04:00,35318.9,35268.9,35418.9,50,100.0,TP,35418.9,100.0,2.0,4,20,-2.9,102.9,133.9,2346,1.759,0.995,1.486,2357.3,0
2023-08-08,SHORT,2023-08-08 10:00:00-04:00,35143.9,35193.9,35043.9,50,100.0,TP,35043.9,100.0,2.0,3,15,-12.7,108.0,228.6,2246,1.53,0.952,1.311,2360.0,1
2023-08-14,SHORT,2023-08-14 10:00:00-04:00,35234.4,35284.4,35134.4,50,100.0,SL,35284.4,-50.0,-1.0,2,10,-57.3,11.0,169.1,2162,1.368,0.959,1.273,2254.0,0
2023-08-15,SHORT,2023-08-15 10:05:00-04:00,35015.6,35065.6,34915.6,50,100.0,SL,35065.6,-50.0,-1.0,12,60,-52.8,34.5,309.8,2402,1.341,1.028,1.33,2337.3,1
2023-08-16,LONG,2023-08-16 10:00:00-04:00,35058.0,35008.0,35158.0,50,100.0,SL,35008.0,-50.0,-1.0,21,105,-57.1,49.7,163.9,2304,1.611,0.993,1.475,2321.0,2
2023-08-17,LONG,2023-08-17 10:05:00-04:00,34872.4,34822.4,34972.4,50,100.0,SL,34822.4,-50.0,-1.0,5,25,-52.6,17.4,120.1,2342,1.434,1.025,1.367,2284.7,3
2023-08-21,SHORT,2023-08-21 10:05:00-04:00,34470.8,34520.8,34370.8,50,100.0,TP,34370.8,100.0,2.0,4,20,-4.7,119.5,170.3,2160,1.436,0.934,1.098,2313.7,0
2023-08-22,SHORT,2023-08-22 10:05:00-04:00,34416.6,34466.6,34316.6,50,100.0,TP,34316.6,100.0,2.0,25,125,-36.3,122.2,141.1,2186,1.465,0.965,1.177,2264.7,1
2023-08-24,LONG,2023-08-24 10:00:00-04:00,34653.0,34603.0,34753.0,50,100.0,SL,34603.0,-50.0,-1.0,1,5,-86.8,2.2,167.5,2306,1.494,1.007,1.512,2290.7,3
2023-08-25,SHORT,2023-08-25 10:20:00-04:00,34129.8,34179.8,34029.8,50,100.0,TP,34029.8,100.0,2.0,8,40,-18.2,105.4,139.9,2460,1.469,1.129,1.251,2179.7,4
2023-08-28,LONG,2023-08-28 10:00:00-04:00,34603.0,34553.0,34703.0,50,100.0,SL,34553.0,-50.0,-1.0,10,50,-60.9,27.5,128.0,2310,1.583,0.995,1.468,2322.7,0
2023-08-29,LONG,2023-08-29 10:00:00-04:00,34685.1,34635.1,34785.1,50,100.0,SL,34635.1,-50.0,-1.0,9,45,-67.6,64.2,145.7,2468,1.73,1.089,1.867,2267.3,1
2023-08-30,LONG,2023-08-30 10:00:00-04:00,34997.6,34947.6,35097.6,50,100.0,SL,34947.6,-50.0,-1.0,3,15,-55.2,14.5,122.9,2290,1.331,0.994,1.33,2304.3,2
2023-09-04,SHORT,2023-09-04 10:00:00-04:00,34829.5,34879.5,34729.5,50,100.0,TIMEOUT,34791.7,37.8,0.756,35,175,-3.7,72.4,71.0,1038,1.585,1.246,2.757,833.3,0
2023-09-06,SHORT,2023-09-06 10:00:00-04:00,34533.6,34583.6,34433.6,50,100.0,SL,34583.6,-50.0,-1.0,1,5,-61.8,3.0,96.3,2446,1.81,1.1,1.876,2222.7,2
2023-09-08,LONG,2023-09-08 10:25:00-04:00,34602.9,34552.9,34702.9,50,100.0,SL,34552.9,-50.0,-1.0,19,95,-53.4,25.6,183.2,2080,1.281,0.949,0.78,2192.3,4
2023-09-18,SHORT,2023-09-18 10:00:00-04:00,34561.1,34611.1,34461.1,50,100.0,SL,34611.1,-50.0,-1.0,5,25,-51.2,24.8,103.5,2272,1.62,0.992,1.47,2289.7,0
2023-09-19,SHORT,2023-09-19 10:00:00-04:00,34472.4,34522.4,34372.4,50,100.0,TP,34372.4,100.0,2.0,12,60,-10.4,105.2,158.6,2122,1.477,0.951,1.249,2230.3,1
2023-09-20,LONG,2023-09-20 10:00:00-04:00,34668.5,34618.5,34768.5,50,100.0,TP,34768.5,100.0,2.0,37,185,-38.3,110.2,150.2,2130,1.793,0.958,1.38,2224.0,2
2023-09-25,SHORT,2023-09-25 10:25:00-04:00,33805.3,33855.3,33705.3,50,100.0,SL,33855.3,-50.0,-1.0,9,45,-54.9,36.7,268.9,2272,1.235,0.993,0.959,2287.3,0
2023-09-26,SHORT,2023-09-26 10:10:00-04:00,33718.0,33768.0,33618.0,50,100.0,SL,33768.0,-50.0,-1.0,6,30,-53.3,31.6,147.7,2230,1.378,1.036,1.313,2153.0,1
2023-09-27,SHORT,2023-09-27 10:00:00-04:00,33586.6,33636.6,33486.6,50,100.0,TP,33486.6,100.0,2.0,10,50,-39.0,104.6,75.7,2198,1.529,0.97,1.367,2266.7,2
2023-09-29,SHORT,2023-09-29 10:10:00-04:00,33697.6,33747.6,33597.6,50,100.0,SL,33747.6,-50.0,-1.0,14,70,-52.3,73.5,154.7,2340,1.295,1.014,1.164,2307.0,4
2023-10-02,SHORT,2023-10-02 10:10:00-04:00,33359.6,33409.6,33259.6,50,100.0,SL,33409.6,-50.0,-1.0,1,5,-66.9,0.0,316.4,2432,1.401,1.033,1.287,2354.0,0
2023-10-03,SHORT,2023-10-03 10:05:00-04:00,33180.6,33230.6,33080.6,50,100.0,SL,33230.6,-50.0,-1.0,1,5,-79.6,2.7,254.8,2394,1.305,1.008,1.327,2374.7,1
2023-10-09,LONG,2023-10-09 10:00:00-04:00,33321.6,33271.6,33421.6,50,100.0,SL,33271.6,-50.0,-1.0,8,40,-53.9,44.3,199.0,2260,1.399,0.976,1.307,2314.7,0
2023-10-10,LONG,2023-10-10 10:10:00-04:00,33746.8,33696.8,33846.8,50,100.0,TP,33846.8,100.0,2.0,13,65,-34.5,106.7,117.1,2206,1.3,0.966,1.072,2284.3,1
2023-10-12,SHORT,2023-10-12 10:00:00-04:00,33653.9,33703.9,33553.9,50,100.0,SL,33703.9,-50.0,-1.0,5,25,-58.2,15.9,139.0,2238,1.205,0.993,1.087,2254.0,3
2023-10-13,LONG,2023-10-13 10:00:00-04:00,33838.8,33788.8,33938.8,50,100.0,SL,33788.8,-50.0,-1.0,1,5,-64.5,13.7,195.4,2406,1.499,1.046,1.462,2301.0,4
2023-10-16,LONG,2023-10-16 10:10:00-04:00,33902.0,33852.0,34002.0,50,100.0,TP,34002.0,100.0,2.0,4,20,-3.9,121.6,212.8,2138,1.258,0.953,0.983,2243.7,0
2023-10-18,SHORT,2023-10-18 10:25:00-04:00,33834.0,33884.0,33734.0,50,100.0,TP,33734.0,100.0,2.0,23,115,-34.1,100.0,134.3,2278,1.23,0.974,0.816,2338.7,2
2023-10-19,SHORT,2023-10-19 10:30:00-04:00,33495.0,33545.0,33395.0,50,100.0,SL,33545.0,-50.0,-1.0,6,30,-50.9,11.8,165.4,2300,1.205,1.01,0.857,2277.3,3
2023-10-20,SHORT,2023-10-20 10:10:00-04:00,33211.1,33261.1,33111.1,50,100.0,SL,33261.1,-50.0,-1.0,11,55,-52.2,30.2,155.7,2296,1.295,0.975,1.081,2354.0,4
2023-10-24,LONG,2023-10-24 10:00:00-04:00,33108.4,33058.4,33208.4,50,100.0,TP,33208.4,100.0,2.0,4,20,-10.1,114.5,171.0,2394,1.512,0.99,1.451,2417.0,1
2023-10-25,SHORT,2023-10-25 10:00:00-04:00,32991.2,33041.2,32891.2,50,100.0,SL,33041.2,-50.0,-1.0,7,35,-88.0,27.1,141.8,2376,1.527,1.004,1.509,2367.7,2
2023-10-27,SHORT,2023-10-27 10:15:00-04:00,32652.7,32702.7,32552.7,50,100.0,SL,32702.7,-50.0,-1.0,11,55,-54.1,89.7,224.1,2356,1.254,1.004,1.02,2346.0,4
2023-10-30,LONG,2023-10-30 10:00:00-04:00,32663.1,32613.1,32763.1,50,100.0,TP,32763.1,100.0,2.0,24,120,-43.5,105.5,134.2,2460,1.626,1.022,1.589,2406.0,0
2023-10-31,SHORT,2023-10-31 10:00:00-04:00,32778.7,32828.7,32678.7,50,100.0,SL,32828.7,-50.0,-1.0,1,5,-68.2,3.7,251.1,2422,1.375,1.039,1.562,2331.3,1
2023-11-01,LONG,2023-11-01 10:10:00-04:00,33139.6,33089.6,33239.6,50,100.0,TP,33239.6,100.0,2.0,6,30,-22.2,102.4,213.1,2382,1.247,1.023,1.125,2329.3,2
2023-11-02,LONG,2023-11-02 10:00:00-04:00,33528.4,33478.4,33628.4,50,100.0,TP,33628.4,100.0,2.0,8,40,-45.5,104.2,237.7,2272,1.371,0.976,1.317,2327.0,3
2023-11-06,SHORT,2023-11-06 10:00:00-05:00,34052.7,34102.7,33952.7,50,100.0,SL,34102.7,-50.0,-1.0,4,20,-54.5,12.4,64.5,2216,1.614,0.955,1.337,2320.3,0
2023-11-07,LONG,2023-11-07 10:00:00-05:00,34099.1,34049.1,34199.1,50,100.0,TP,34199.1,100.0,2.0,20,100,-21.3,107.2,103.3,2122,1.432,0.928,1.195,2286.7,1
2023-11-09,SHORT,2023-11-09 10:00:00-05:00,34062.1,34112.1,33962.1,50,100.0,SL,34112.1,-50.0,-1.0,13,65,-52.0,89.6,138.6,2266,1.413,0.981,1.368,2310.7,3
2023-11-17,SHORT,2023-11-17 10:00:00-05:00,34941.8,34991.8,34841.8,50,100.0,TIMEOUT,34948.4,-6.6,-0.132,72,360,-43.8,67.0,151.9,2162,1.335,0.958,1.23,2256.7,4
2023-11-20,LONG,2023-11-20 10:00:00-05:00,35012.3,34962.3,35112.3,50,100.0,TP,35112.3,100.0,2.0,36,180,-28.1,125.1,94.8,2182,1.543,0.983,1.412,2220.0,0
2023-11-21,SHORT,2023-11-21 10:00:00-05:00,35074.8,35124.8,34974.8,50,100.0,TIMEOUT,35071.3,3.5,0.07,72,360,-34.8,34.1,73.9,2140,1.443,0.977,1.372,2190.3,1
2023-11-24,LONG,2023-11-24 10:20:00-05:00,35383.3,35333.3,35483.3,50,100.0,SL,35333.3,-50.0,-1.0,17,85,-50.8,17.6,73.9,2196,1.308,0.87,0.677,2523.0,4
2023-11-28,LONG,2023-11-28 10:40:00-05:00,35479.1,35429.1,35579.1,50,100.0,SL,35429.1,-50.0,-1.0,22,110,-56.6,53.4,78.1,2768,1.295,1.07,1.08,2588.0,1
2023-11-29,SHORT,2023-11-29 10:20:00-05:00,35446.6,35496.6,35346.6,50,100.0,SL,35496.6,-50.0,-1.0,6,30,-67.3,5.6,100.0,2658,1.301,0.976,0.89,2723.7,2
2023-11-30,LONG,2023-11-30 10:10:00-05:00,35703.6,35653.6,35803.6,50,100.0,SL,35653.6,-50.0,-1.0,26,130,-58.6,73.3,166.2,2664,1.231,0.967,0.933,2754.3,3
2023-12-01,LONG,2023-12-01 10:00:00-05:00,36053.7,36003.7,36153.7,50,100.0,SL,36003.7,-50.0,-1.0,2,10,-52.3,3.8,137.9,2950,1.735,1.099,1.881,2684.3,4
2023-12-05,SHORT,2023-12-05 10:05:00-05:00,36074.3,36124.3,35974.3,50,100.0,SL,36124.3,-50.0,-1.0,9,45,-55.2,47.9,127.2,2180,1.472,1.015,1.337,2148.7,1
2023-12-06,LONG,2023-12-06 10:10:00-05:00,36263.9,36213.9,36363.9,50,100.0,SL,36213.9,-50.0,-1.0,2,10,-56.0,11.2,106.7,2108,1.379,0.971,1.063,2171.3,2
2023-12-08,LONG,2023-12-08 10:00:00-05:00,36211.2,36161.2,36311.2,50,100.0,SL,36161.2,-50.0,-1.0,7,35,-52.9,55.3,192.3,2448,1.325,1.098,1.558,2230.0,4
2023-12-11,LONG,2023-12-11 10:05:00-05:00,36303.9,36253.9,36403.9,50,100.0,TP,36403.9,100.0,2.0,43,215,-12.6,100.3,59.0,1966,1.441,0.906,1.007,2170.0,0
