instrument,trades,wins,losses,timeouts,win_rate,tp_rate,sl_rate,expectancy_R,total_R,profit_factor,avg_win_R,avg_loss_R,avg_mins_held,max_dd_R,long_share,lon_window,bo_window
US30,613,208,386,19,0.3393,0.3393,0.6297,0.0592,36.28,1.093,2.0,-1.0,47.6,-24.82,0.532,RNG 08-0930ET,10:00-13:00
US30,605,205,383,17,0.3388,0.3388,0.6331,0.0567,34.28,1.089,2.0,-1.0,47.4,-27.73,0.532,RNG 08-0930ET,10:00-11:00
US30,567,193,360,14,0.3404,0.3404,0.6349,0.0565,32.04,1.089,2.0,-1.0,46.6,-26.61,0.536,RNG 07-0930ET,10:00-10:30
US30,589,199,372,18,0.3379,0.3379,0.6316,0.056,32.99,1.088,2.0,-1.0,46.9,-22.82,0.535,RNG 07-0930ET,10:00-13:00
US30,606,205,384,17,0.3383,0.3383,0.6337,0.0549,33.28,1.086,2.0,-1.0,47.4,-27.73,0.531,RNG 08-0930ET,10:00-12:00
US30,596,202,379,15,0.3389,0.3389,0.6359,0.0525,31.28,1.082,2.0,-1.0,47.0,-30.61,0.535,RNG 08-0930ET,10:00-10:30
US30,518,175,328,15,0.3378,0.3378,0.6332,0.0519,26.89,1.082,2.0,-1.0,46.2,-26.46,0.558,RNG 04-0930ET,10:00-13:00
US30,467,159,298,10,0.3405,0.3405,0.6381,0.0507,23.67,1.079,2.0,-1.0,45.1,-23.0,0.565,RNG 02-0930ET,10:00-10:30
US30,576,194,366,16,0.3368,0.3368,0.6354,0.0504,29.03,1.079,2.0,-1.0,46.8,-27.62,0.533,RNG 07-0930ET,10:00-11:00
US30,580,195,368,17,0.3362,0.3362,0.6345,0.0503,29.19,1.079,2.0,-1.0,46.8,-25.73,0.531,RNG 07-0930ET,10:00-12:00
US30,494,166,313,15,0.336,0.336,0.6336,0.0503,24.85,1.079,2.0,-1.0,46.3,-20.26,0.565,RNG 02-0930ET,10:00-13:00
US30,491,167,314,10,0.3401,0.3401,0.6395,0.0489,24.03,1.076,2.0,-1.0,45.3,-28.2,0.562,RNG 04-0930ET,10:00-10:30
US30,508,171,323,14,0.3366,0.3366,0.6358,0.0474,24.09,1.074,2.0,-1.0,46.1,-27.26,0.555,RNG 04-0930ET,10:00-12:00
US30,630,199,375,56,0.3159,0.3159,0.5952,0.0466,29.39,1.076,2.0,-1.0,43.5,-23.18,0.552,RNG 04-0930ET,10:00-16:00
US30,460,156,295,9,0.3391,0.3391,0.6413,0.0452,20.78,1.07,2.0,-1.0,44.0,-21.0,0.57,RNG 00-0930ET,10:00-10:30
US30,486,163,310,13,0.3354,0.3354,0.6379,0.045,21.86,1.07,2.0,-1.0,45.2,-21.36,0.57,RNG 00-0930ET,10:00-13:00
US30,504,169,321,14,0.3353,0.3353,0.6369,0.0438,22.09,1.069,2.0,-1.0,46.0,-29.15,0.558,RNG 04-0930ET,10:00-11:00
US30,606,190,359,57,0.3135,0.3135,0.5924,0.0436,26.4,1.071,2.0,-1.0,42.3,-16.35,0.556,RNG 00-0930ET,10:00-16:00
US30,484,162,308,14,0.3347,0.3347,0.6364,0.0428,20.72,1.067,2.0,-1.0,45.8,-21.26,0.56,RNG 02-0930ET,10:00-12:00
US30,614,192,364,58,0.3127,0.3127,0.5928,0.0423,25.96,1.069,2.0,-1.0,43.0,-18.84,0.552,RNG 02-0930ET,10:00-16:00
US30,475,159,304,12,0.3347,0.3347,0.64,0.0394,18.74,1.061,2.0,-1.0,44.6,-20.36,0.564,RNG 00-0930ET,10:00-12:00
US30,480,160,306,14,0.3333,0.3333,0.6375,0.039,18.72,1.061,2.0,-1.0,45.7,-22.15,0.562,RNG 02-0930ET,10:00-11:00
US30,683,218,420,45,0.3192,0.3192,0.6149,0.0347,23.69,1.055,2.0,-1.0,45.9,-29.71,0.529,RNG 08-0930ET,10:00-16:00
US30,666,211,408,47,0.3168,0.3168,0.6126,0.0337,22.45,1.054,2.0,-1.0,44.9,-26.21,0.536,RNG 07-0930ET,10:00-16:00
US30,472,157,303,12,0.3326,0.3326,0.6419,0.0333,15.74,1.052,2.0,-1.0,44.4,-20.36,0.566,RNG 00-0930ET,10:00-11:00
US30,475,159,306,10,0.3347,0.3347,0.6442,0.033,15.67,1.051,2.0,-1.0,44.8,-26.2,0.564,RNG 03-0930ET,10:00-10:30
US30,619,192,370,57,0.3102,0.3102,0.5977,0.0294,18.23,1.048,2.0,-1.0,42.6,-22.98,0.551,RNG 03-0930ET,10:00-16:00
US30,502,166,322,14,0.3307,0.3307,0.6414,0.0293,14.72,1.046,2.0,-1.0,45.6,-26.26,0.562,RNG 03-0930ET,10:00-13:00
US30,493,162,317,14,0.3286,0.3286,0.643,0.0238,11.72,1.037,2.0,-1.0,45.4,-26.26,0.558,RNG 03-0930ET,10:00-12:00
US30,488,160,314,14,0.3279,0.3279,0.6434,0.022,10.72,1.034,2.0,-1.0,45.4,-28.15,0.561,RNG 03-0930ET,10:00-11:00
