instrument,trades,wins,losses,timeouts,win_rate,tp_rate,sl_rate,expectancy_R,total_R,profit_factor,avg_win_R,avg_loss_R,avg_mins_held,max_dd_R,long_share,stop_method,stop_param,rr
US30,613,125,406,82,0.2039,0.2039,0.6623,0.2022,123.94,1.303,3.5,-1.0,103.8,-31.19,0.532,fixed,60,3.5
US30,613,125,370,118,0.2039,0.2039,0.6036,0.1904,116.7,1.31,3.0,-1.0,128.6,-19.61,0.532,fixed,75,3.0
US30,613,164,362,87,0.2675,0.2675,0.5905,0.1685,103.3,1.281,2.5,-1.0,116.2,-22.94,0.532,fixed,75,2.5
US30,613,113,362,138,0.1843,0.1843,0.5905,0.1666,102.15,1.278,3.0,-1.0,154.0,-24.29,0.532,atr,2.0,3.0
US30,613,93,375,145,0.1517,0.1517,0.6117,0.1653,101.35,1.266,3.5,-1.0,141.9,-20.73,0.532,fixed,75,3.5
US30,613,148,401,64,0.2414,0.2414,0.6542,0.1596,97.81,1.242,3.0,-1.0,93.1,-36.38,0.532,fixed,60,3.0
US30,613,78,365,170,0.1272,0.1272,0.5954,0.1507,92.38,1.249,3.5,-1.0,164.5,-22.29,0.532,atr,2.0,3.5
US30,613,145,358,110,0.2365,0.2365,0.584,0.1439,88.22,1.243,2.5,-1.0,140.4,-17.32,0.532,atr,2.0,2.5
US30,613,175,389,49,0.2855,0.2855,0.6346,0.135,82.76,1.211,2.5,-1.0,81.9,-38.02,0.532,fixed,60,2.5
US30,613,200,348,65,0.3263,0.3263,0.5677,0.1337,81.98,1.232,2.0,-1.0,98.6,-26.94,0.532,fixed,75,2.0
US30,613,194,347,72,0.3165,0.3165,0.5661,0.1329,81.49,1.232,2.0,-1.0,119.3,-15.91,0.532,atr,2.0,2.0
US30,613,260,324,29,0.4241,0.4241,0.5285,0.1274,78.09,1.239,1.5,-1.0,87.5,-10.5,0.532,atr,2.0,1.5
US30,613,130,430,53,0.2121,0.2121,0.7015,0.124,76.04,1.176,3.5,-1.0,78.4,-36.66,0.532,fixed,50,3.5
US30,613,74,333,206,0.1207,0.1207,0.5432,0.1231,75.44,1.222,3.0,-1.0,193.1,-25.08,0.532,atr,2.5,3.0
US30,613,110,329,174,0.1794,0.1794,0.5367,0.122,74.79,1.223,2.5,-1.0,181.3,-22.21,0.532,atr,2.5,2.5
US30,613,117,333,163,0.1909,0.1909,0.5432,0.1205,73.84,1.216,2.5,-1.0,163.1,-19.61,0.532,fixed,100,2.5
