metric,min_pctile,threshold,trades,kept_frac,win_rate,expectancy_R,total_R
bo_vol,0.0,305.0,681,1.0,0.345,0.073,49.59
bo_vol,0.1,900.0,615,0.903,0.34,0.048,29.41
bo_vol,0.2,1048.0,545,0.8,0.345,0.063,34.11
bo_vol,0.3,1204.0,478,0.702,0.337,0.038,18.33
bo_vol,0.4,1278.0,409,0.601,0.33,0.023,9.33
bo_vol,0.5,1538.0,341,0.501,0.328,0.018,6.09
bo_vol,0.6,1734.0,275,0.404,0.309,-0.036,-9.87
bo_vol,0.7,1920.0,205,0.301,0.307,-0.048,-9.84
bo_vol,0.8,2068.0,138,0.203,0.326,0.007,0.97
bo_vol,0.9,2232.0,69,0.101,0.319,-0.043,-3.0
