metric,min_pctile,threshold,trades,kept_frac,win_rate,expectancy_R,total_R
vol_pm_rel,0.0,0.383,681,1.0,0.345,0.073,49.59
vol_pm_rel,0.1,0.773,613,0.9,0.352,0.09,55.1
vol_pm_rel,0.2,0.862,546,0.802,0.339,0.047,25.78
vol_pm_rel,0.3,0.906,478,0.702,0.341,0.054,26.0
vol_pm_rel,0.4,0.936,413,0.606,0.327,0.013,5.23
vol_pm_rel,0.5,0.956,343,0.504,0.335,0.044,15.23
vol_pm_rel,0.6,0.975,274,0.402,0.336,0.052,14.36
vol_pm_rel,0.7,0.993,205,0.301,0.302,-0.056,-11.52
vol_pm_rel,0.8,1.011,140,0.206,0.307,-0.025,-3.52
vol_pm_rel,0.9,1.049,69,0.101,0.362,0.185,12.77
