metric,min_pctile,threshold,trades,kept_frac,win_rate,expectancy_R,total_R
vol_trail_rel,0.0,0.562,681,1.0,0.345,0.073,49.59
vol_trail_rel,0.1,0.948,614,0.902,0.349,0.08,48.92
vol_trail_rel,0.2,1.101,545,0.8,0.339,0.051,27.76
vol_trail_rel,0.3,1.209,477,0.7,0.331,0.031,14.76
vol_trail_rel,0.4,1.306,409,0.601,0.347,0.083,33.88
vol_trail_rel,0.5,1.409,341,0.501,0.361,0.123,42.03
vol_trail_rel,0.6,1.495,273,0.401,0.359,0.124,33.96
vol_trail_rel,0.7,1.599,206,0.302,0.34,0.06,12.44
vol_trail_rel,0.8,1.737,137,0.201,0.35,0.084,11.55
vol_trail_rel,0.9,1.91,70,0.103,0.3,-0.064,-4.49
