metric,min_pctile,threshold,trades,kept_frac,win_rate,expectancy_R,total_R
vol_z,0.0,-2.809,681,1.0,0.345,0.073,49.59
vol_z,0.1,-0.409,613,0.9,0.347,0.077,46.92
vol_z,0.2,0.36,545,0.8,0.338,0.045,24.76
vol_z,0.3,0.794,476,0.699,0.338,0.045,21.64
vol_z,0.4,0.998,410,0.602,0.337,0.039,16.13
vol_z,0.5,1.14,341,0.501,0.337,0.047,16.13
vol_z,0.6,1.245,274,0.402,0.336,0.048,13.26
vol_z,0.7,1.326,205,0.301,0.341,0.079,16.26
vol_z,0.8,1.416,138,0.203,0.319,0.03,4.19
vol_z,0.9,1.558,69,0.101,0.348,0.126,8.67
