ny_hour,mean,median,std,count
0,267.5,218.0,181.4,9312
1,329.6,280.0,197.8,9311
2,417.4,372.0,219.1,9300
3,667.1,590.0,337.7,9300
4,605.2,534.0,307.9,9300
5,508.6,438.0,271.3,9300
6,492.9,426.0,269.8,9301
7,544.5,480.0,280.8,9300
8,711.4,614.0,395.7,9305
9,1220.2,1114.0,622.6,9299
10,1475.2,1414.0,505.2,9300
11,1296.1,1212.0,475.1,9294
12,1170.2,1126.0,456.5,9288
13,1161.5,1104.0,445.0,8967
14,1173.4,1108.0,463.9,8938
15,1250.8,1166.0,486.8,8902
16,471.2,364.0,351.8,8655
17,2.6,2.0,1.0,7
18,300.4,252.0,196.5,9324
19,327.6,270.5,214.3,9324
20,457.9,410.0,239.5,9324
21,414.9,358.0,236.3,9321
22,332.3,276.0,208.2,9312
23,277.1,230.0,182.3,9312
