date,side,entry_time_ny,entry,stop,target,stop_dist,tp_dist,outcome,exit,pnl_pts,R,bars_held,mins_held,mae_pts,mfe_pts,range_w,bo_vol,vol_trail_rel,vol_pm_rel,vol_z,pm_avg_vol,dow
2023-07-05,LONG,2023-07-05 10:00:00-04:00,15224.3,15164.3,15344.3,60,120.0,TIMEOUT,15203.4,-20.9,-0.348,72,360,-54.8,52.8,88.1,2050,1.665,0.959,1.328,2138.3,2
2023-07-06,SHORT,2023-07-06 10:00:00-04:00,14983.2,15043.2,14863.2,60,120.0,SL,15043.2,-60.0,-1.0,25,125,-63.9,14.4,138.9,2250,1.332,1.023,1.505,2200.0,3
2023-07-11,SHORT,2023-07-11 10:00:00-04:00,14993.3,15053.3,14873.3,60,120.0,SL,15053.3,-60.0,-1.0,7,35,-62.6,22.1,60.0,2082,1.593,0.943,1.293,2208.3,1
2023-07-12,LONG,2023-07-12 10:00:00-04:00,15323.6,15263.6,15443.6,60,120.0,SL,15263.6,-60.0,-1.0,20,100,-96.6,41.0,162.9,2110,1.203,0.957,0.837,2204.0,2
2023-07-13,LONG,2023-07-13 10:00:00-04:00,15457.0,15397.0,15577.0,60,120.0,TP,15577.0,120.0,2.0,63,315,-33.8,120.8,92.8,2058,1.343,0.963,1.099,2138.0,3
2023-07-14,LONG,2023-07-14 10:00:00-04:00,15669.4,15609.4,15789.4,60,120.0,SL,15609.4,-60.0,-1.0,36,180,-69.7,52.3,51.5,2250,1.776,1.078,1.744,2086.7,4
2023-07-17,LONG,2023-07-17 10:00:00-04:00,15615.9,15555.9,15735.9,60,120.0,TP,15735.9,120.0,2.0,63,315,-19.9,129.0,50.5,1986,1.552,0.914,1.189,2172.0,0
2023-07-18,SHORT,2023-07-18 10:00:00-04:00,15636.1,15696.1,15516.1,60,120.0,SL,15696.1,-60.0,-1.0,20,100,-70.0,14.8,46.0,2060,1.415,0.952,1.126,2163.0,1
2023-07-20,SHORT,2023-07-20 10:15:00-04:00,15661.4,15721.4,15541.4,60,120.0,TP,15541.4,120.0,2.0,48,240,-6.2,139.5,98.2,2198,1.369,1.015,1.11,2164.8,3
2023-07-21,SHORT,2023-07-21 10:20:00-04:00,15473.1,15533.1,15353.1,60,120.0,SL,15533.1,-60.0,-1.0,43,215,-64.8,39.9,119.9,2080,1.305,0.928,0.804,2241.0,4
2023-07-24,SHORT,2023-07-24 10:00:00-04:00,15396.5,15456.5,15276.5,60,120.0,SL,15456.5,-60.0,-1.0,3,15,-65.6,9.2,67.7,2104,1.682,0.932,1.278,2257.0,0
2023-07-25,LONG,2023-07-25 10:00:00-04:00,15542.4,15482.4,15662.4,60,120.0,TIMEOUT,15550.7,8.3,0.138,72,360,-48.2,81.9,69.7,2090,1.823,1.004,1.482,2082.7,1
2023-07-27,LONG,2023-07-27 10:00:00-04:00,15764.0,15704.0,15884.0,60,120.0,SL,15704.0,-60.0,-1.0,5,25,-97.5,1.3,132.7,2130,1.306,0.974,1.228,2187.3,3
2023-07-28,LONG,2023-07-28 10:00:00-04:00,15722.0,15662.0,15842.0,60,120.0,TIMEOUT,15735.3,13.3,0.222,72,360,-51.6,65.6,144.1,2214,1.367,1.003,1.409,2206.8,4
2023-08-01,SHORT,2023-08-01 10:15:00-04:00,15646.4,15706.4,15526.4,60,120.0,SL,15706.4,-60.0,-1.0,3,15,-61.3,8.9,101.5,2132,1.353,0.995,1.069,2141.7,1
2023-08-02,SHORT,2023-08-02 10:05:00-04:00,15461.7,15521.7,15341.7,60,120.0,TP,15341.7,120.0,2.0,23,115,-11.9,124.3,127.7,2156,1.31,0.963,1.192,2238.3,2
2023-08-07,SHORT,2023-08-07 10:00:00-04:00,15306.1,15366.1,15186.1,60,120.0,SL,15366.1,-60.0,-1.0,48,240,-72.5,52.0,72.0,2238,1.624,0.978,1.419,2288.3,0
2023-08-08,SHORT,2023-08-08 10:00:00-04:00,15221.9,15281.9,15101.9,60,120.0,SL,15281.9,-60.0,-1.0,69,345,-62.5,76.6,124.1,2190,1.521,0.985,1.438,2222.7,1
2023-08-09,SHORT,2023-08-09 10:00:00-04:00,15214.8,15274.8,15094.8,60,120.0,TP,15094.8,120.0,2.0,15,75,-10.7,129.5,74.7,2014,1.453,0.928,1.203,2171.3,2
2023-08-15,SHORT,2023-08-15 10:05:00-04:00,15068.4,15128.4,14948.4,60,120.0,SL,15128.4,-60.0,-1.0,22,110,-62.2,24.7,178.4,2202,1.265,0.993,1.125,2218.3,1
2023-08-17,SHORT,2023-08-17 10:10:00-04:00,14843.8,14903.8,14723.8,60,120.0,TP,14723.8,120.0,2.0,60,300,-53.4,133.4,96.1,2104,1.314,0.947,1.01,2221.3,3
2023-08-21,LONG,2023-08-21 10:00:00-04:00,14859.1,14799.1,14979.1,60,120.0,SL,14799.1,-60.0,-1.0,5,25,-85.9,16.6,137.2,2072,1.521,0.941,1.265,2203.0,0
2023-08-23,LONG,2023-08-23 10:00:00-04:00,15042.4,14982.4,15162.4,60,120.0,TP,15162.4,120.0,2.0,39,195,-11.0,123.0,122.5,2146,1.44,0.964,1.332,2225.0,2
2023-08-24,SHORT,2023-08-24 10:00:00-04:00,15178.8,15238.8,15058.8,60,120.0,TP,15058.8,120.0,2.0,4,20,-0.8,121.4,93.2,2294,1.481,1.022,1.567,2245.0,3
2023-08-25,LONG,2023-08-25 10:00:00-04:00,14914.6,14854.6,15034.6,60,120.0,SL,14854.6,-60.0,-1.0,1,5,-67.3,5.9,132.5,2325,1.666,1.069,1.785,2175.3,4
2023-08-29,LONG,2023-08-29 10:00:00-04:00,15190.3,15130.3,15310.3,60,120.0,TP,15310.3,120.0,2.0,16,80,-9.5,121.4,96.9,2384,1.726,1.135,2.095,2100.3,1
2023-08-30,LONG,2023-08-30 10:00:00-04:00,15436.7,15376.7,15556.7,60,120.0,SL,15376.7,-60.0,-1.0,4,20,-64.0,32.4,89.7,2146,1.329,0.992,1.299,2163.3,2
2023-08-31,LONG,2023-08-31 10:00:00-04:00,15522.0,15462.0,15642.0,60,120.0,TIMEOUT,15509.2,-12.8,-0.213,72,360,-58.4,52.9,84.0,2054,1.317,0.926,0.988,2217.7,3
2023-09-06,SHORT,2023-09-06 10:00:00-04:00,15388.8,15448.8,15268.8,60,120.0,TIMEOUT,15365.9,22.9,0.382,72,360,-20.7,101.2,78.9,2365,1.792,1.1,1.879,2150.0,2
2023-09-07,SHORT,2023-09-07 10:00:00-04:00,15147.9,15207.9,15027.9,60,120.0,SL,15207.9,-60.0,-1.0,2,10,-62.4,2.6,164.6,2136,1.32,0.963,1.145,2218.7,3
2023-09-08,LONG,2023-09-08 10:00:00-04:00,15342.9,15282.9,15462.9,60,120.0,SL,15282.9,-60.0,-1.0,12,60,-68.8,32.8,119.5,2156,1.583,1.015,1.547,2123.7,4
2023-09-11,SHORT,2023-09-11 10:10:00-04:00,15336.6,15396.6,15216.6,60,120.0,SL,15396.6,-60.0,-1.0,36,180,-63.0,9.3,81.4,2122,1.452,0.951,1.077,2231.8,0
2023-09-12,SHORT,2023-09-12 10:25:00-04:00,15375.7,15435.7,15255.7,60,120.0,TIMEOUT,15293.7,82.0,1.367,67,335,-30.9,98.2,87.2,2160,1.281,0.986,0.939,2191.7,1
