date,side,entry_time_ny,entry,stop,target,stop_dist,tp_dist,outcome,exit,pnl_pts,R,bars_held,mins_held,mae_pts,mfe_pts,range_w,bo_vol,vol_trail_rel,vol_pm_rel,vol_z,pm_avg_vol,dow
2023-07-03,LONG,2023-07-03 10:00:00-04:00,34374.5,34330.04,34463.41,44.46,88.91,TP,34463.41,88.91,2.0,22,110,-19.3,91.0,55.9,2178,1.91,1.004,1.506,2170.3,0
2023-07-05,LONG,2023-07-05 10:00:00-04:00,34295.3,34245.09,34395.73,50.21,100.43,TIMEOUT,34284.6,-10.7,-0.213,72,360,-44.9,94.5,42.6,2114,1.731,0.944,1.313,2238.7,2
2023-07-06,SHORT,2023-07-06 10:00:00-04:00,33881.0,33952.1,33738.8,71.1,142.2,TIMEOUT,33923.3,-42.3,-0.595,72,360,-67.7,124.7,117.1,2258,1.442,0.994,1.361,2272.7,3
2023-07-10,LONG,2023-07-10 10:00:00-04:00,33951.3,33877.53,34098.84,73.77,147.54,SL,33877.53,-73.77,-1.0,7,35,-96.3,16.6,77.1,2190,1.627,0.953,1.309,2298.0,0
2023-07-12,LONG,2023-07-12 10:00:00-04:00,34548.3,34473.79,34697.33,74.51,149.03,SL,34473.79,-74.51,-1.0,20,100,-127.7,33.4,219.8,2210,1.23,0.956,0.886,2311.0,2
2023-07-13,LONG,2023-07-13 10:00:00-04:00,34461.9,34413.26,34559.19,48.64,97.29,SL,34413.26,-48.64,-1.0,10,50,-62.6,14.3,56.8,2154,1.492,0.94,1.142,2290.3,3
2023-07-14,SHORT,2023-07-14 10:00:00-04:00,34546.1,34598.39,34441.53,52.29,104.57,TIMEOUT,34501.3,44.8,0.857,72,360,-47.0,87.8,55.2,2378,1.992,1.09,1.779,2181.3,4
2023-07-17,LONG,2023-07-17 10:00:00-04:00,34548.0,34494.41,34655.17,53.59,107.17,TP,34655.17,107.17,2.0,63,315,-12.2,139.0,45.9,2190,1.777,0.932,1.296,2348.7,0
2023-07-18,LONG,2023-07-18 10:00:00-04:00,34838.3,34773.54,34967.81,64.76,129.51,TP,34967.81,129.51,2.0,12,60,-29.3,133.9,51.9,2256,1.581,0.959,1.267,2351.3,1
2023-07-19,LONG,2023-07-19 10:00:00-04:00,35201.0,35141.44,35320.11,59.56,119.11,SL,35141.44,-59.56,-1.0,10,50,-77.2,60.8,90.0,2216,1.666,0.954,1.336,2322.3,2
2023-07-20,LONG,2023-07-20 10:00:00-04:00,35299.6,35235.94,35426.91,63.66,127.31,SL,35235.94,-63.66,-1.0,4,20,-81.2,3.1,80.8,2314,1.682,0.983,1.414,2353.3,3
2023-07-24,LONG,2023-07-24 10:00:00-04:00,35402.4,35346.7,35513.8,55.7,111.4,TIMEOUT,35454.2,51.8,0.93,72,360,-37.2,96.7,54.0,2212,1.892,0.987,1.459,2240.7,0
2023-07-26,LONG,2023-07-26 10:10:00-04:00,35464.1,35399.79,35592.73,64.31,128.63,TP,35592.73,128.63,2.0,53,265,-35.9,171.8,103.1,2142,1.499,0.932,1.012,2298.3,2
2023-07-27,SHORT,2023-07-27 10:05:00-04:00,35593.2,35657.86,35463.89,64.66,129.31,SL,35657.86,-64.66,-1.0,32,160,-73.0,65.1,118.8,2250,1.326,0.976,1.143,2306.0,3
2023-07-28,LONG,2023-07-28 10:15:00-04:00,35501.6,35434.74,35635.31,66.86,133.71,SL,35434.74,-66.86,-1.0,40,200,-83.7,93.9,76.4,2138,1.297,0.949,0.884,2253.3,4
2023-08-01,LONG,2023-08-01 10:00:00-04:00,35690.2,35630.77,35809.06,59.43,118.86,SL,35630.77,-59.43,-1.0,2,10,-62.5,2.2,88.2,2338,1.716,1.043,1.655,2242.0,1
2023-08-02,SHORT,2023-08-02 10:05:00-04:00,35448.3,35513.01,35318.87,64.71,129.43,TP,35318.87,129.43,2.0,62,310,-27.6,148.8,108.3,2200,1.364,0.944,1.129,2329.3,2
2023-08-04,LONG,2023-08-04 10:00:00-04:00,35338.1,35266.73,35480.84,71.37,142.74,SL,35266.73,-71.37,-1.0,1,5,-81.1,0.0,165.9,2312,1.241,0.984,1.003,2349.7,4
2023-08-07,LONG,2023-08-07 10:00:00-04:00,35318.9,35246.59,35463.53,72.31,144.63,TP,35463.53,144.63,2.0,38,190,-2.9,160.3,119.2,2346,1.759,0.995,1.486,2357.3,0
2023-08-08,SHORT,2023-08-08 10:00:00-04:00,35143.9,35217.44,34996.81,73.54,147.09,SL,35217.44,-73.54,-1.0,36,180,-82.5,122.2,68.1,2246,1.53,0.952,1.311,2360.0,1
2023-08-11,LONG,2023-08-11 10:00:00-04:00,35228.0,35150.84,35382.31,77.16,154.31,TIMEOUT,35302.8,74.8,0.969,72,360,-36.3,137.4,128.4,2434,1.375,1.078,1.527,2258.7,4
2023-08-14,SHORT,2023-08-14 10:00:00-04:00,35234.4,35311.26,35080.69,76.86,153.71,SL,35311.26,-76.86,-1.0,8,40,-77.3,11.0,123.1,2162,1.368,0.959,1.273,2254.0,0
2023-08-15,SHORT,2023-08-15 10:05:00-04:00,35015.6,35096.69,34853.43,81.09,162.17,TIMEOUT,34963.0,52.6,0.649,71,355,-70.4,101.2,150.0,2402,1.341,1.028,1.33,2337.3,1
2023-08-16,LONG,2023-08-16 10:00:00-04:00,35058.0,34981.91,35210.17,76.09,152.17,SL,34981.91,-76.09,-1.0,23,115,-85.0,49.7,101.8,2304,1.611,0.993,1.475,2321.0,2
2023-08-17,LONG,2023-08-17 10:00:00-04:00,34855.5,34792.09,34982.33,63.41,126.83,SL,34792.09,-63.41,-1.0,13,65,-74.2,34.3,103.0,2316,1.481,1.014,1.459,2284.7,3
2023-08-18,LONG,2023-08-18 10:00:00-04:00,34401.5,34316.69,34571.13,84.81,169.63,TP,34571.13,169.63,2.0,69,345,-64.7,189.6,82.2,2348,1.377,0.977,1.345,2403.0,4
2023-08-21,SHORT,2023-08-21 10:00:00-04:00,34487.0,34555.89,34349.23,68.89,137.77,TP,34349.23,137.77,2.0,6,30,-16.6,162.5,135.1,2248,1.57,0.972,1.383,2313.7,0
2023-08-22,SHORT,2023-08-22 10:05:00-04:00,34416.6,34483.34,34283.11,66.74,133.49,TP,34283.11,133.49,2.0,35,175,-36.3,133.8,140.2,2186,1.465,0.965,1.177,2264.7,1
2023-08-23,LONG,2023-08-23 10:00:00-04:00,34393.6,34331.74,34517.31,61.86,123.71,TP,34517.31,123.71,2.0,39,195,-48.4,123.8,65.5,2134,1.489,0.983,1.424,2170.3,2
2023-08-24,LONG,2023-08-24 10:00:00-04:00,34653.0,34573.97,34811.06,79.03,158.06,SL,34573.97,-79.03,-1.0,1,5,-86.8,2.2,45.1,2306,1.494,1.007,1.512,2290.7,3
