date,side,entry_time_ny,entry,stop,target,stop_dist,tp_dist,outcome,exit,pnl_pts,R,bars_held,mins_held,mae_pts,mfe_pts,range_w,bo_vol,vol_trail_rel,vol_pm_rel,vol_z,pm_avg_vol,dow
2023-07-03,LONG,2023-07-03 10:00:00-04:00,34374.5,34314.5,34524.5,60,150.0,TIMEOUT,34437.8,63.3,1.055,39,195,-19.3,100.6,55.9,2178,1.91,1.004,1.506,2170.3,0
2023-07-05,LONG,2023-07-05 10:00:00-04:00,34295.3,34235.3,34445.3,60,150.0,TIMEOUT,34284.6,-10.7,-0.178,72,360,-44.9,94.5,42.6,2114,1.731,0.944,1.313,2238.7,2
2023-07-06,SHORT,2023-07-06 10:00:00-04:00,33881.0,33941.0,33731.0,60,150.0,SL,33941.0,-60.0,-1.0,56,280,-60.1,124.7,117.1,2258,1.442,0.994,1.361,2272.7,3
2023-07-10,LONG,2023-07-10 10:00:00-04:00,33951.3,33891.3,34101.3,60,150.0,SL,33891.3,-60.0,-1.0,6,30,-73.7,16.6,77.1,2190,1.627,0.953,1.309,2298.0,0
2023-07-12,LONG,2023-07-12 10:00:00-04:00,34548.3,34488.3,34698.3,60,150.0,SL,34488.3,-60.0,-1.0,19,95,-63.1,33.4,219.8,2210,1.23,0.956,0.886,2311.0,2
2023-07-13,LONG,2023-07-13 10:00:00-04:00,34461.9,34401.9,34611.9,60,150.0,SL,34401.9,-60.0,-1.0,10,50,-62.6,14.3,56.8,2154,1.492,0.94,1.142,2290.3,3
2023-07-14,SHORT,2023-07-14 10:00:00-04:00,34546.1,34606.1,34396.1,60,150.0,TIMEOUT,34501.3,44.8,0.747,72,360,-47.0,87.8,55.2,2378,1.992,1.09,1.779,2181.3,4
2023-07-17,LONG,2023-07-17 10:00:00-04:00,34548.0,34488.0,34698.0,60,150.0,TIMEOUT,34586.2,38.2,0.637,72,360,-12.2,145.1,45.9,2190,1.777,0.932,1.296,2348.7,0
2023-07-18,LONG,2023-07-18 10:00:00-04:00,34838.3,34778.3,34988.3,60,150.0,TP,34988.3,150.0,2.5,13,65,-29.3,157.9,51.9,2256,1.581,0.959,1.267,2351.3,1
2023-07-19,LONG,2023-07-19 10:00:00-04:00,35201.0,35141.0,35351.0,60,150.0,SL,35141.0,-60.0,-1.0,10,50,-77.2,60.8,90.0,2216,1.666,0.954,1.336,2322.3,2
2023-07-20,LONG,2023-07-20 10:00:00-04:00,35299.6,35239.6,35449.6,60,150.0,SL,35239.6,-60.0,-1.0,4,20,-81.2,3.1,80.8,2314,1.682,0.983,1.414,2353.3,3
2023-07-24,LONG,2023-07-24 10:00:00-04:00,35402.4,35342.4,35552.4,60,150.0,TIMEOUT,35454.2,51.8,0.863,72,360,-37.2,96.7,54.0,2212,1.892,0.987,1.459,2240.7,0
2023-07-26,LONG,2023-07-26 10:10:00-04:00,35464.1,35404.1,35614.1,60,150.0,TP,35614.1,150.0,2.5,53,265,-35.9,171.8,103.1,2142,1.499,0.932,1.012,2298.3,2
2023-07-27,SHORT,2023-07-27 10:05:00-04:00,35593.2,35653.2,35443.2,60,150.0,SL,35653.2,-60.0,-1.0,32,160,-73.0,65.1,118.8,2250,1.326,0.976,1.143,2306.0,3
