month,trades,wins,losses,usd
2023-07,14,3,11,-552.5
2023-08,14,5,9,47.5
2023-09,11,3,8,-241.25
2023-10,10,4,6,162.5
2023-11,15,5,10,-336.55
2023-12,17,9,8,550.95
2024-01,10,5,5,398.2
2024-02,13,3,10,-407.95
2024-03,11,3,8,-241.25
2024-04,8,4,4,370.0
2024-05,10,5,5,365.7
2024-06,9,3,6,-33.75
2024-07,21,9,12,350.95
2024-08,14,4,10,-252.5
2024-09,13,4,9,-59.75
2024-10,16,4,12,-460.0
2024-11,14,7,7,750.2
2024-12,13,6,7,345.55
2025-01,11,4,7,58.75
2025-02,18,5,13,-463.3
2025-03,13,4,9,-148.75
2025-04,10,4,6,162.5
2025-05,9,6,3,866.25
2025-06,14,3,11,-734.0
2025-07,14,5,9,-241.3
2025-08,13,8,5,890.55
2025-09,12,6,6,317.0
2025-10,12,5,7,255.0
2025-11,9,3,6,-33.75
2025-12,12,3,9,-345.0
2026-01,11,7,4,811.75
2026-02,4,3,1,485.0
2026-04,1,0,1,-103.75
2026-05,2,1,1,92.5
