week,week_start,trades,wins,losses,usd
2023-W27,2023-07-03,2,0,2,-200.0
2023-W28,2023-07-10,4,1,3,-50.0
2023-W29,2023-07-17,4,2,2,300.0
2023-W30,2023-07-24,4,0,4,-400.0
2023-W31,2023-07-31,2,1,1,150.0
2023-W32,2023-08-07,3,1,2,50.0
2023-W33,2023-08-14,2,0,2,-200.0
2023-W34,2023-08-21,4,2,2,300.0
2023-W35,2023-08-28,3,1,2,50.0
2023-W36,2023-09-04,3,1,2,50.0
2023-W37,2023-09-11,3,2,1,355.0
2023-W38,2023-09-18,2,0,2,-200.0
2023-W39,2023-09-25,3,0,3,-300.0
2023-W40,2023-10-02,2,1,1,150.0
2023-W41,2023-10-09,1,1,0,250.0
2023-W42,2023-10-16,3,2,1,400.0
2023-W43,2023-10-23,3,0,3,-300.0
2023-W44,2023-10-30,3,1,2,50.0
2023-W45,2023-11-06,3,2,1,400.0
2023-W46,2023-11-13,3,0,3,-300.0
2023-W47,2023-11-20,4,2,2,-80.3
2023-W48,2023-11-27,4,0,4,-400.0
2023-W49,2023-12-04,5,2,3,200.0
2023-W50,2023-12-11,3,2,1,344.0
2023-W51,2023-12-18,4,2,2,-50.0
2023-W52,2023-12-25,4,3,1,296.5
2024-W01,2024-01-01,3,1,2,50.0
2024-W02,2024-01-08,2,1,1,150.0
2024-W03,2024-01-15,2,1,1,150.0
2024-W04,2024-01-22,2,1,1,35.7
2024-W05,2024-01-29,2,0,2,-200.0
2024-W06,2024-02-05,3,2,1,305.3
2024-W07,2024-02-12,3,0,3,-300.0
2024-W08,2024-02-19,4,1,3,35.5
2024-W09,2024-02-26,3,1,2,50.0
2024-W10,2024-03-04,3,2,1,400.0
2024-W11,2024-03-11,4,0,4,-400.0
2024-W12,2024-03-18,1,0,1,-100.0
2024-W13,2024-03-25,2,0,2,-200.0
2024-W14,2024-04-01,2,0,2,-200.0
2024-W15,2024-04-08,1,0,1,-100.0
2024-W16,2024-04-15,2,1,1,150.0
2024-W17,2024-04-22,3,1,2,50.0
2024-W18,2024-04-29,1,0,1,-100.0
2024-W19,2024-05-06,2,1,1,150.0
2024-W21,2024-05-20,4,1,3,-50.0
2024-W22,2024-05-27,3,2,1,253.2
2024-W23,2024-06-03,2,1,1,150.0
2024-W24,2024-06-10,1,0,1,-100.0
2024-W25,2024-06-17,2,1,1,150.0
2024-W26,2024-06-24,4,1,3,-50.0
2024-W27,2024-07-01,5,2,3,-20.3
2024-W28,2024-07-08,5,2,3,200.0
2024-W29,2024-07-15,4,2,2,300.0
2024-W30,2024-07-22,5,1,4,-150.0
2024-W31,2024-07-29,3,3,0,750.0
2024-W32,2024-08-05,3,0,3,-300.0
2024-W33,2024-08-12,4,1,3,-50.0
2024-W34,2024-08-19,2,0,2,-200.0
2024-W35,2024-08-26,4,1,3,-50.0
2024-W36,2024-09-02,4,1,3,39.0
2024-W37,2024-09-09,4,0,4,-400.0
2024-W38,2024-09-16,2,2,0,500.0
2024-W39,2024-09-23,3,1,2,50.0
2024-W40,2024-09-30,2,1,1,150.0
2024-W41,2024-10-07,3,2,1,400.0
2024-W42,2024-10-14,4,1,3,-50.0
2024-W43,2024-10-21,4,0,4,-400.0
2024-W44,2024-10-28,4,1,3,-50.0
2024-W45,2024-11-04,3,1,2,50.0
2024-W46,2024-11-11,4,1,3,-50.0
2024-W47,2024-11-18,2,1,1,150.0
2024-W48,2024-11-25,4,4,0,752.7
2024-W49,2024-12-02,2,2,0,226.3
2024-W50,2024-12-09,4,2,2,300.0
2024-W51,2024-12-16,2,0,2,-200.0
2024-W52,2024-12-23,3,1,2,50.0
2025-W01,2024-12-30,4,0,4,-400.0
2025-W02,2025-01-06,3,1,2,50.0
2025-W03,2025-01-13,1,0,1,-100.0
2025-W04,2025-01-20,2,0,2,-160.5
2025-W05,2025-01-27,3,2,1,400.0
2025-W06,2025-02-03,5,1,4,-150.0
2025-W07,2025-02-10,3,1,2,-146.0
2025-W08,2025-02-17,5,1,4,-99.8
2025-W09,2025-02-24,5,1,4,-150.0
2025-W10,2025-03-03,3,1,2,50.0
2025-W11,2025-03-10,3,0,3,-300.0
2025-W12,2025-03-17,3,0,3,-300.0
2025-W13,2025-03-24,3,3,0,617.0
2025-W14,2025-03-31,3,0,3,-300.0
2025-W15,2025-04-07,1,0,1,-100.0
2025-W16,2025-04-14,2,1,1,150.0
2025-W17,2025-04-21,4,3,1,650.0
2025-W18,2025-04-28,1,0,1,-100.0
2025-W19,2025-05-05,2,1,1,150.0
2025-W20,2025-05-12,1,1,0,250.0
2025-W21,2025-05-19,4,2,2,300.0
2025-W22,2025-05-26,2,2,0,500.0
2025-W23,2025-06-02,4,1,3,-50.0
2025-W24,2025-06-09,4,1,3,-195.7
2025-W25,2025-06-16,3,1,2,-181.5
2025-W26,2025-06-23,2,0,2,-200.0
2025-W27,2025-06-30,3,2,1,200.5
2025-W28,2025-07-07,4,0,4,-400.0
2025-W29,2025-07-14,3,2,1,210.7
2025-W30,2025-07-21,4,0,4,-400.0
2025-W31,2025-07-28,1,1,0,250.0
2025-W32,2025-08-04,5,2,3,156.0
2025-W33,2025-08-11,2,1,1,150.0
2025-W34,2025-08-18,3,3,0,750.0
2025-W35,2025-08-25,3,2,1,141.3
2025-W36,2025-09-01,1,0,1,-100.0
2025-W37,2025-09-08,3,1,2,50.0
2025-W38,2025-09-15,4,2,2,-38.0
2025-W39,2025-09-22,3,3,0,750.0
2025-W40,2025-09-29,3,1,2,50.0
2025-W41,2025-10-06,2,2,0,500.0
2025-W42,2025-10-13,1,0,1,-100.0
2025-W43,2025-10-20,4,2,2,300.0
2025-W44,2025-10-27,3,0,3,-300.0
2025-W45,2025-11-03,2,1,1,150.0
2025-W46,2025-11-10,4,1,3,-50.0
2025-W47,2025-11-17,1,0,1,-100.0
2025-W48,2025-11-24,2,0,2,-200.0
2025-W49,2025-12-01,4,0,4,-400.0
2025-W50,2025-12-08,3,2,1,400.0
2025-W51,2025-12-15,3,1,2,50.0
2025-W52,2025-12-22,2,0,2,-200.0
