month,trades,wins,losses,usd
2023-07,14,3,11,-200.0
2023-08,14,5,9,600.0
2023-09,11,3,8,-237.8
2023-10,10,4,6,224.8
2023-11,15,5,10,-119.8
2023-12,17,9,8,751.3
2024-01,10,3,7,35.7
2024-02,13,2,11,-559.2
2024-03,11,3,8,100.0
2024-04,8,2,6,0.0
2024-05,10,4,6,337.7
2024-06,9,3,6,208.0
2024-07,21,8,13,829.7
2024-08,14,3,11,-200.0
2024-09,13,3,10,-11.0
2024-10,16,4,12,0.0
2024-11,14,7,7,993.9
2024-12,13,5,8,241.3
2025-01,11,3,8,139.5
2025-02,18,4,14,-395.8
2025-03,13,4,9,117.0
2025-04,10,4,6,600.0
2025-05,9,6,3,1385.0
2025-06,14,3,11,-677.2
2025-07,14,5,9,111.2
2025-08,13,8,5,1310.1
2025-09,12,6,6,645.8
2025-10,12,4,8,333.7
2025-11,9,2,7,-100.0
2025-12,12,3,9,0.0
2026-01,11,7,4,1159.2
2026-02,4,3,1,800.0
2026-04,1,0,1,-100.0
2026-05,2,1,1,200.0
