date,side,entry_time_ny,entry,stop,target,stop_dist,tp_dist,outcome,exit,pnl_pts,R,bars_held,mins_held,mae_pts,mfe_pts,range_w,bo_vol,vol_trail_rel,vol_pm_rel,vol_z,pm_avg_vol,dow,dt,usd,year,month,week,week_start
2023-07-05,LONG,2023-07-05 10:00:00-04:00,15224.3,15184.3,15344.3,40,120.0,SL,15184.3,-40.0,-1.0,24,120,-40.6,52.8,88.1,2050,1.665,0.959,1.328,2138.3,2,2023-07-05,-100.0,2023,2023-07,2023-W27,2023-07-03
2023-07-06,SHORT,2023-07-06 10:00:00-04:00,14983.2,15023.2,14863.2,40,120.0,SL,15023.2,-40.0,-1.0,6,30,-48.2,14.4,138.9,2250,1.332,1.023,1.505,2200.0,3,2023-07-06,-100.0,2023,2023-07,2023-W27,2023-07-03
2023-07-11,SHORT,2023-07-11 10:00:00-04:00,14993.3,15033.3,14873.3,40,120.0,SL,15033.3,-40.0,-1.0,5,25,-43.0,22.1,60.0,2082,1.593,0.943,1.293,2208.3,1,2023-07-11,-100.0,2023,2023-07,2023-W28,2023-07-10
2023-07-12,LONG,2023-07-12 10:00:00-04:00,15323.6,15283.6,15443.6,40,120.0,SL,15283.6,-40.0,-1.0,19,95,-56.9,41.0,162.9,2110,1.203,0.957,0.837,2204.0,2,2023-07-12,-100.0,2023,2023-07,2023-W28,2023-07-10
2023-07-13,LONG,2023-07-13 10:00:00-04:00,15457.0,15417.0,15577.0,40,120.0,TP,15577.0,120.0,3.0,63,315,-33.8,120.8,92.8,2058,1.343,0.963,1.099,2138.0,3,2023-07-13,300.0,2023,2023-07,2023-W28,2023-07-10
2023-07-14,LONG,2023-07-14 10:00:00-04:00,15669.4,15629.4,15789.4,40,120.0,SL,15629.4,-40.0,-1.0,9,45,-43.4,52.3,51.5,2250,1.776,1.078,1.744,2086.7,4,2023-07-14,-100.0,2023,2023-07,2023-W28,2023-07-10
2023-07-17,LONG,2023-07-17 10:00:00-04:00,15615.9,15575.9,15735.9,40,120.0,TP,15735.9,120.0,3.0,63,315,-19.9,129.0,50.5,1986,1.552,0.914,1.189,2172.0,0,2023-07-17,300.0,2023,2023-07,2023-W29,2023-07-17
2023-07-18,SHORT,2023-07-18 10:00:00-04:00,15636.1,15676.1,15516.1,40,120.0,SL,15676.1,-40.0,-1.0,14,70,-41.3,14.8,46.0,2060,1.415,0.952,1.126,2163.0,1,2023-07-18,-100.0,2023,2023-07,2023-W29,2023-07-17
2023-07-20,SHORT,2023-07-20 10:15:00-04:00,15661.4,15701.4,15541.4,40,120.0,TP,15541.4,120.0,3.0,48,240,-6.2,139.5,98.2,2198,1.369,1.015,1.11,2164.8,3,2023-07-20,300.0,2023,2023-07,2023-W29,2023-07-17
2023-07-21,SHORT,2023-07-21 10:20:00-04:00,15473.1,15513.1,15353.1,40,120.0,SL,15513.1,-40.0,-1.0,10,50,-48.3,39.9,119.9,2080,1.305,0.928,0.804,2241.0,4,2023-07-21,-100.0,2023,2023-07,2023-W29,2023-07-17
2023-07-24,SHORT,2023-07-24 10:00:00-04:00,15396.5,15436.5,15276.5,40,120.0,SL,15436.5,-40.0,-1.0,2,10,-46.3,9.2,67.7,2104,1.682,0.932,1.278,2257.0,0,2023-07-24,-100.0,2023,2023-07,2023-W30,2023-07-24
2023-07-25,LONG,2023-07-25 10:00:00-04:00,15542.4,15502.4,15662.4,40,120.0,SL,15502.4,-40.0,-1.0,6,30,-44.6,4.3,69.7,2090,1.823,1.004,1.482,2082.7,1,2023-07-25,-100.0,2023,2023-07,2023-W30,2023-07-24
2023-07-27,LONG,2023-07-27 10:00:00-04:00,15764.0,15724.0,15884.0,40,120.0,SL,15724.0,-40.0,-1.0,2,10,-40.6,1.3,132.7,2130,1.306,0.974,1.228,2187.3,3,2023-07-27,-100.0,2023,2023-07,2023-W30,2023-07-24
