month,trades,wins,losses,usd
2023-07,15,6,9,-106.6
2023-08,20,10,10,769.8
2023-09,13,9,4,927.3
2023-10,17,4,13,-413.3
2023-11,13,8,5,762.5
2023-12,17,6,11,-483.8
2024-01,18,5,13,-670.7
2024-02,16,5,11,-250.7
2024-03,16,6,10,3.3
2024-04,16,4,12,-437.5
2024-05,18,8,10,361.1
2024-06,18,4,14,-794.8
2024-07,23,6,17,-321.0
2024-08,18,7,11,129.1
2024-09,20,8,12,426.0
2024-10,20,8,12,252.4
2024-11,17,10,7,980.9
2024-12,18,6,12,-31.7
2025-01,16,8,8,800.0
2025-02,17,10,7,1253.1
2025-03,18,8,10,600.0
2025-04,18,4,14,-600.0
2025-05,15,6,9,300.0
2025-06,17,7,10,211.7
2025-07,20,9,11,526.7
2025-08,20,10,10,804.0
2025-09,17,6,11,-54.0
2025-10,22,10,12,800.0
2025-11,16,5,11,-176.7
2025-12,21,11,10,853.6
2026-01,18,7,11,300.0
2026-02,14,6,8,400.0
2026-03,6,1,5,-300.0
2026-04,14,6,8,400.0
2026-05,17,5,12,-153.3
2026-06,12,7,5,900.0
2026-07,2,2,0,230.7
