month,trades,wins,losses,usd
2023-07,15,6,9,-146.65
2023-08,20,10,10,716.4
2023-09,13,9,4,892.59
2023-10,17,4,13,-458.69
2023-11,13,8,5,727.79
2023-12,17,6,11,-529.19
2024-01,18,5,13,-718.76
2024-02,16,5,11,-293.42
2024-03,16,6,10,-39.42
2024-04,16,4,12,-480.22
2024-05,18,8,10,313.04
2024-06,18,4,14,-842.86
2024-07,23,6,17,-382.41
2024-08,18,7,11,81.04
2024-09,20,8,12,372.6
2024-10,20,8,12,199.0
2024-11,17,10,7,935.51
2024-12,18,6,12,-79.76
2025-01,16,8,8,757.28
2025-02,17,10,7,1207.71
2025-03,18,8,10,551.94
2025-04,18,4,14,-648.06
2025-05,15,6,9,259.95
2025-06,17,7,10,166.31
2025-07,20,9,11,473.3
2025-08,20,10,10,750.6
2025-09,17,6,11,-99.39
2025-10,22,10,12,741.26
2025-11,16,5,11,-219.42
2025-12,21,11,10,797.53
2026-01,18,7,11,251.94
2026-02,14,6,8,362.62
2026-03,6,1,5,-316.02
2026-04,14,6,8,362.62
2026-05,17,5,12,-198.69
2026-06,12,7,5,867.96
2026-07,2,2,0,225.36
