date,side,entry_time_ny,entry,stop,target,stop_dist,tp_dist,outcome,exit,pnl_pts,R,bars_held,mins_held,mae_pts,mfe_pts,range_w,bo_vol,vol_trail_rel,vol_pm_rel,vol_z,pm_avg_vol,dow,dt,usd,year,month,week,week_start
2023-07-03,LONG,2023-07-03 10:00:00-04:00,34374.5,34299.5,34637.0,75,262.5,TIMEOUT,34437.8,63.3,0.844,39,195,-19.3,100.6,55.9,2178,1.91,1.004,1.506,2170.3,0,2023-07-03,84.4,2023,2023-07,2023-W27,2023-07-03
2023-07-05,LONG,2023-07-05 10:00:00-04:00,34295.3,34220.3,34557.8,75,262.5,TIMEOUT,34284.6,-10.7,-0.143,72,360,-44.9,94.5,42.6,2114,1.731,0.944,1.313,2238.7,2,2023-07-05,-14.3,2023,2023-07,2023-W27,2023-07-03
2023-07-06,SHORT,2023-07-06 10:00:00-04:00,33881.0,33956.0,33618.5,75,262.5,TIMEOUT,33923.3,-42.3,-0.564,72,360,-67.7,124.7,117.1,2258,1.442,0.994,1.361,2272.7,3,2023-07-06,-56.4,2023,2023-07,2023-W27,2023-07-03
2023-07-10,LONG,2023-07-10 10:00:00-04:00,33951.3,33876.3,34213.8,75,262.5,SL,33876.3,-75.0,-1.0,7,35,-96.3,16.6,77.1,2190,1.627,0.953,1.309,2298.0,0,2023-07-10,-100.0,2023,2023-07,2023-W28,2023-07-10
2023-07-12,LONG,2023-07-12 10:00:00-04:00,34548.3,34473.3,34810.8,75,262.5,SL,34473.3,-75.0,-1.0,20,100,-127.7,33.4,219.8,2210,1.23,0.956,0.886,2311.0,2,2023-07-12,-100.0,2023,2023-07,2023-W28,2023-07-10
2023-07-13,LONG,2023-07-13 10:00:00-04:00,34461.9,34386.9,34724.4,75,262.5,SL,34386.9,-75.0,-1.0,18,90,-85.6,14.3,56.8,2154,1.492,0.94,1.142,2290.3,3,2023-07-13,-100.0,2023,2023-07,2023-W28,2023-07-10
2023-07-14,SHORT,2023-07-14 10:00:00-04:00,34546.1,34621.1,34283.6,75,262.5,TIMEOUT,34501.3,44.8,0.597,72,360,-47.0,87.8,55.2,2378,1.992,1.09,1.779,2181.3,4,2023-07-14,59.7,2023,2023-07,2023-W28,2023-07-10
2023-07-17,LONG,2023-07-17 10:00:00-04:00,34548.0,34473.0,34810.5,75,262.5,TIMEOUT,34586.2,38.2,0.509,72,360,-12.2,145.1,45.9,2190,1.777,0.932,1.296,2348.7,0,2023-07-17,50.9,2023,2023-07,2023-W29,2023-07-17
2023-07-18,LONG,2023-07-18 10:00:00-04:00,34838.3,34763.3,35100.8,75,262.5,TIMEOUT,34979.3,141.0,1.88,72,360,-29.3,182.6,51.9,2256,1.581,0.959,1.267,2351.3,1,2023-07-18,188.0,2023,2023-07,2023-W29,2023-07-17
2023-07-19,LONG,2023-07-19 10:00:00-04:00,35201.0,35126.0,35463.5,75,262.5,SL,35126.0,-75.0,-1.0,10,50,-77.2,60.8,90.0,2216,1.666,0.954,1.336,2322.3,2,2023-07-19,-100.0,2023,2023-07,2023-W29,2023-07-17
2023-07-20,LONG,2023-07-20 10:00:00-04:00,35299.6,35224.6,35562.1,75,262.5,SL,35224.6,-75.0,-1.0,4,20,-81.2,3.1,80.8,2314,1.682,0.983,1.414,2353.3,3,2023-07-20,-100.0,2023,2023-07,2023-W29,2023-07-17
